t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,foot_left_joint,RS02,-0.032406,0.000000,0.000017,0.0000,0.0000,-0.032406,0.005951,-0.000259,35.00
0.008066,torque-chirp,foot_left_joint,RS02,-0.031639,0.000000,0.213189,0.0000,0.0000,-0.031639,-0.088350,0.036575,35.00
0.016023,torque-chirp,foot_left_joint,RS02,-0.031639,0.000000,0.410399,0.0000,0.0000,-0.031639,0.090179,0.008560,35.00
0.024015,torque-chirp,foot_left_joint,RS02,-0.031256,0.000000,0.582851,0.0000,0.0000,-0.031256,0.163425,0.093126,35.00
0.032015,torque-chirp,foot_left_joint,RS02,-0.028955,0.000000,0.718802,0.0000,0.0000,-0.028955,0.265965,0.205708,35.00
0.040019,torque-chirp,foot_left_joint,RS02,-0.023585,0.000000,0.809376,0.0000,0.0000,-0.023585,0.645000,0.293903,35.00
0.048013,torque-chirp,foot_left_joint,RS02,-0.014381,0.000000,0.848576,0.0000,0.0000,-0.014381,0.856491,0.342154,35.00
0.056010,torque-chirp,foot_left_joint,RS02,-0.002110,0.000000,0.833898,0.0000,0.0000,-0.002110,1.286791,0.312061,35.00
0.064011,torque-chirp,foot_left_joint,RS02,0.013230,0.000000,0.766038,0.0000,0.0000,0.013230,1.417715,0.224384,35.00
0.072009,torque-chirp,foot_left_joint,RS02,0.031255,0.000000,0.649234,0.0000,0.0000,0.031255,1.522085,0.262257,35.00
0.080008,torque-chirp,foot_left_joint,RS02,0.051198,0.000000,0.490759,0.0000,0.0000,0.051198,1.811399,0.374319,35.00
0.088009,torque-chirp,foot_left_joint,RS02,0.074208,0.000000,0.300615,0.0000,0.0000,0.074208,1.997255,0.228016,35.00
0.096010,torque-chirp,foot_left_joint,RS02,0.098368,0.000000,0.090988,0.0000,0.0000,0.098368,2.151062,0.218678,35.00
0.104008,torque-chirp,foot_left_joint,RS02,0.124063,0.000000,-0.124629,0.0000,0.0000,0.124063,2.140076,0.148638,35.00
0.112009,torque-chirp,foot_left_joint,RS02,0.150142,0.000000,-0.332500,0.0000,0.0000,0.150142,2.262760,0.106615,35.00
0.120008,torque-chirp,foot_left_joint,RS02,0.175836,0.000000,-0.519035,0.0000,0.0000,0.175836,2.153809,0.105577,35.00
0.128005,torque-chirp,foot_left_joint,RS02,0.201146,0.000000,-0.672114,0.0000,0.0000,0.201146,2.044861,-0.041765,35.00
0.136009,torque-chirp,foot_left_joint,RS02,0.224156,0.000000,-0.781835,0.0000,0.0000,0.224156,1.871824,0.059921,35.00
0.144007,torque-chirp,foot_left_joint,RS02,0.245633,0.000000,-0.840764,0.0000,0.0000,0.245633,1.691462,-0.108171,35.00
0.152007,torque-chirp,foot_left_joint,RS02,0.263658,0.000000,-0.845009,0.0000,0.0000,0.263658,1.368277,-0.168873,35.00
0.160008,torque-chirp,foot_left_joint,RS02,0.278231,0.000000,-0.794102,0.0000,0.0000,0.278231,0.971848,-0.178730,35.00
0.168009,torque-chirp,foot_left_joint,RS02,0.287050,0.000000,-0.691208,0.0000,0.0000,0.287050,0.579079,-0.268482,35.00
0.176007,torque-chirp,foot_left_joint,RS02,0.289735,0.000000,-0.542973,0.0000,0.0000,0.289735,-0.036163,-0.301687,35.00
0.184009,torque-chirp,foot_left_joint,RS02,0.286667,0.000000,-0.358876,0.0000,0.0000,0.286667,-0.356604,-0.347342,35.00
0.192009,torque-chirp,foot_left_joint,RS02,0.281299,0.000000,-0.151057,0.0000,0.0000,0.281299,-0.585489,-0.291309,35.00
