t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000000,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,0.002289,-0.000259,33.00
0.008030,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.070038,0.014786,33.00
0.016024,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.050812,-0.012192,33.00
0.024023,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,-0.070955,0.008560,33.00
0.032025,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.007782,0.009598,33.00
0.040024,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,-0.036163,0.000778,33.00
0.048019,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,0.006866,0.003372,33.00
0.056024,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.032501,0.016342,33.00
0.064020,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.012360,-0.011673,33.00
0.072017,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.026093,0.008041,33.00
0.080020,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.016937,0.003891,33.00
0.088019,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.080111,-0.009079,33.00
0.096014,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.106661,-0.016861,33.00
0.104019,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.073702,0.018417,33.00
0.112018,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.040741,-0.013748,33.00
0.120014,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.026093,-0.067186,33.00
0.128020,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.012360,-0.010635,33.00
0.136021,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,-0.070955,0.007523,33.00
0.144015,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,-0.050812,0.001297,33.00
0.152018,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.037079,0.017380,33.00
0.160019,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,0.027924,-0.000259,33.00
0.168016,friction-sweep,foot_right_joint,RS02,-12.086227,0.000000,0.000000,0.0000,2.0000,-12.086227,-0.167086,0.012192,33.00
0.176019,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,0.046234,-0.030350,33.00
0.184017,friction-sweep,foot_right_joint,RS02,-12.085844,0.000000,0.000000,0.0000,2.0000,-12.085844,-0.032501,0.000778,33.00
