t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,noload-speed,foot_right_joint,RS02,-1.776952,0.000000,0.000001,0.0000,0.0000,-1.776952,0.012360,-0.000259,33.00
0.008031,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.013652,0.0000,0.0000,-1.776568,-0.000458,-0.011154,33.00
0.016019,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.027232,0.0000,0.0000,-1.776568,-0.024261,-0.005966,33.00
0.024011,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.040819,0.0000,0.0000,-1.776568,-0.051727,0.020493,33.00
0.032011,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.054418,0.0000,0.0000,-1.776568,0.022430,0.087938,33.00
0.040006,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.068011,0.0000,0.0000,-1.776568,0.037994,0.058884,33.00
0.048008,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.081613,0.0000,0.0000,-1.776568,0.052643,0.033981,33.00
0.056006,noload-speed,foot_right_joint,RS02,-1.776568,0.000000,0.095211,0.0000,0.0000,-1.776568,0.014191,0.060959,33.00
0.064007,noload-speed,foot_right_joint,RS02,-1.776185,0.000000,0.108812,0.0000,0.0000,-1.776185,-0.020599,0.081194,33.00
0.072007,noload-speed,foot_right_joint,RS02,-1.776185,0.000000,0.122411,0.0000,0.0000,-1.776185,0.014191,0.095201,33.00
0.080005,noload-speed,foot_right_joint,RS02,-1.775802,0.000000,0.136009,0.0000,0.0000,-1.775802,0.030670,0.116472,33.00
0.088007,noload-speed,foot_right_joint,RS02,-1.775802,0.000000,0.149612,0.0000,0.0000,-1.775802,0.027924,0.120104,33.00
0.096008,noload-speed,foot_right_joint,RS02,-1.775418,0.000000,0.163213,0.0000,0.0000,-1.775418,0.002289,0.128405,33.00
0.104007,noload-speed,foot_right_joint,RS02,-1.775035,0.000000,0.176812,0.0000,0.0000,-1.775035,0.082855,0.119585,33.00
0.112007,noload-speed,foot_right_joint,RS02,-1.773500,0.000000,0.190412,0.0000,0.0000,-1.773500,0.207371,0.110765,33.00
0.120007,noload-speed,foot_right_joint,RS02,-1.770816,0.000000,0.204013,0.0000,0.0000,-1.770816,0.298923,0.072374,33.00
0.128013,noload-speed,foot_right_joint,RS02,-1.767748,0.000000,0.217622,0.0000,0.0000,-1.767748,0.357521,0.132036,33.00
0.136006,noload-speed,foot_right_joint,RS02,-1.764297,0.000000,0.231211,0.0000,0.0000,-1.764297,0.228428,0.194292,33.00
0.144009,noload-speed,foot_right_joint,RS02,-1.759695,0.000000,0.244815,0.0000,0.0000,-1.759695,0.493019,0.166277,33.00
