t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,stall-torque,foot_right_joint,RS02,4.122062,0.000000,0.000001,0.0000,0.0000,4.122062,-0.078279,-0.000259,32.00
0.008040,stall-torque,foot_right_joint,RS02,4.122445,0.000000,0.013668,0.0000,0.0000,4.122445,0.007782,0.014786,32.00
0.016028,stall-torque,foot_right_joint,RS02,4.122062,0.000000,0.027247,0.0000,0.0000,4.122062,-0.018768,0.012192,32.00
0.024007,stall-torque,foot_right_joint,RS02,4.122445,0.000000,0.040813,0.0000,0.0000,4.122445,0.121311,0.012192,32.00
0.032006,stall-torque,foot_right_joint,RS02,4.122445,0.000000,0.054409,0.0000,0.0000,4.122445,0.036163,0.028275,32.00
0.040000,stall-torque,foot_right_joint,RS02,4.122445,0.000000,0.068001,0.0000,0.0000,4.122445,0.013275,0.033981,32.00
0.047997,stall-torque,foot_right_joint,RS02,4.122445,0.000000,0.081596,0.0000,0.0000,4.122445,-0.033417,0.044876,32.00
0.055995,stall-torque,foot_right_joint,RS02,4.122445,0.000000,0.095191,0.0000,0.0000,4.122445,0.009613,0.060440,32.00
0.063995,stall-torque,foot_right_joint,RS02,4.122828,0.000000,0.108792,0.0000,0.0000,4.122828,0.061798,0.083788,32.00
0.071996,stall-torque,foot_right_joint,RS02,4.122828,0.000000,0.122393,0.0000,0.0000,4.122828,0.073700,0.104540,32.00
0.079995,stall-torque,foot_right_joint,RS02,4.123212,0.000000,0.135992,0.0000,0.0000,4.123212,-0.006866,0.037613,32.00
0.087995,stall-torque,foot_right_joint,RS02,4.123212,0.000000,0.149592,0.0000,0.0000,4.123212,0.020599,0.096758,32.00
0.095995,stall-torque,foot_right_joint,RS02,4.123979,0.000000,0.163191,0.0000,0.0000,4.123979,0.096588,0.102983,32.00
0.108037,stall-torque,foot_right_joint,RS02,4.125512,0.000000,0.183663,0.0000,0.0000,4.125512,0.048981,0.130999,32.00
0.116027,stall-torque,foot_right_joint,RS02,4.127048,0.000000,0.197246,0.0000,0.0000,4.127048,0.189060,0.137224,32.00
0.124011,stall-torque,foot_right_joint,RS02,4.128964,0.000000,0.210819,0.0000,0.0000,4.128964,0.188145,0.185991,32.00
