t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,foot_right_joint,RS02,-7.701660,0.000000,0.000009,0.0000,0.0000,-7.701660,0.004120,-0.000259,33.00
0.008045,torque-chirp,foot_right_joint,RS02,-7.702044,0.000000,0.129453,0.0000,0.0000,-7.702044,0.070953,0.002335,33.00
0.016008,torque-chirp,foot_right_joint,RS02,-7.702044,0.000000,0.258636,0.0000,0.0000,-7.702044,-0.074617,-0.008041,33.00
0.023999,torque-chirp,foot_right_joint,RS02,-7.701660,0.000000,0.389213,0.0000,0.0000,-7.701660,0.053558,0.076525,33.00
0.031997,torque-chirp,foot_right_joint,RS02,-7.701277,0.000000,0.520767,0.0000,0.0000,-7.701277,0.107574,0.183916,33.00
0.039996,torque-chirp,foot_right_joint,RS02,-7.700510,0.000000,0.653112,0.0000,0.0000,-7.700510,0.092010,0.280415,33.00
0.047995,torque-chirp,foot_right_joint,RS02,-7.698592,0.000000,0.786140,0.0000,0.0000,-7.698592,0.298008,0.371725,33.00
0.055993,torque-chirp,foot_right_joint,RS02,-7.693990,0.000000,0.919704,0.0000,0.0000,-7.693990,0.486610,0.391958,33.00
0.063993,torque-chirp,foot_right_joint,RS02,-7.685169,0.000000,1.053753,0.0000,0.0000,-7.685169,0.837265,0.340078,33.00
0.071994,torque-chirp,foot_right_joint,RS02,-7.672898,0.000000,1.188147,0.0000,0.0000,-7.672898,1.188829,0.315174,33.00
0.079994,torque-chirp,foot_right_joint,RS02,-7.656790,0.000000,1.322760,0.0000,0.0000,-7.656790,1.434195,0.408041,33.00
0.087994,torque-chirp,foot_right_joint,RS02,-7.637999,0.000000,1.457475,0.0000,0.0000,-7.637999,1.715265,0.407522,33.00
0.095994,torque-chirp,foot_right_joint,RS02,-7.615372,0.000000,1.592159,0.0000,0.0000,-7.615372,2.069580,0.369131,33.00
0.103997,torque-chirp,foot_right_joint,RS02,-7.587760,0.000000,1.726742,0.0000,0.0000,-7.587760,2.487984,0.463552,33.00
0.111998,torque-chirp,foot_right_joint,RS02,-7.555930,0.000000,1.860990,0.0000,0.0000,-7.555930,2.938431,0.484306,33.00
0.119994,torque-chirp,foot_right_joint,RS02,-7.518730,0.000000,1.994719,0.0000,0.0000,-7.518730,3.373310,0.520103,33.00
0.127993,torque-chirp,foot_right_joint,RS02,-7.476161,0.000000,2.127941,0.0000,0.0000,-7.476161,3.858547,0.563164,33.00
0.135993,torque-chirp,foot_right_joint,RS02,-7.427073,0.000000,2.260438,0.0000,0.0000,-7.427073,4.467384,0.591179,33.00
0.143994,torque-chirp,foot_right_joint,RS02,-7.370315,0.000000,2.392079,0.0000,0.0000,-7.370315,5.071644,0.597404,33.00
0.151993,torque-chirp,foot_right_joint,RS02,-7.307037,0.000000,2.522642,0.0000,0.0000,-7.307037,5.726250,0.667444,33.00
0.159993,torque-chirp,foot_right_joint,RS02,-7.235706,0.000000,2.652049,0.0000,0.0000,-7.235706,6.299381,0.698572,33.00
0.167994,torque-chirp,foot_right_joint,RS02,-7.155938,0.000000,2.780113,0.0000,0.0000,-7.155938,7.016251,0.684046,33.00
0.175993,torque-chirp,foot_right_joint,RS02,-7.067733,0.000000,2.906624,0.0000,0.0000,-7.067733,7.837490,0.795071,33.00
0.183994,torque-chirp,foot_right_joint,RS02,-6.969556,0.000000,3.031484,0.0000,0.0000,-6.969556,8.811630,0.775875,33.00
0.191995,torque-chirp,foot_right_joint,RS02,-6.861793,0.000000,3.154467,0.0000,0.0000,-6.861793,9.628288,0.810116,33.00
0.199993,torque-chirp,foot_right_joint,RS02,-6.744058,0.000000,3.275389,0.0000,0.0000,-6.744058,10.345158,0.819454,33.00
0.207993,torque-chirp,foot_right_joint,RS02,-6.615585,0.000000,3.394110,0.0000,0.0000,-6.615585,11.353168,0.920622,33.00
0.215993,torque-chirp,foot_right_joint,RS02,-6.475991,0.000000,3.510438,0.0000,0.0000,-6.475991,12.335548,0.943449,33.00
0.223994,torque-chirp,foot_right_joint,RS02,-6.324892,0.000000,3.624200,0.0000,0.0000,-6.324892,13.281300,0.955900,33.00
0.231994,torque-chirp,foot_right_joint,RS02,-6.162287,0.000000,3.735190,0.0000,0.0000,-6.162287,14.355228,1.004669,33.00
0.239995,torque-chirp,foot_right_joint,RS02,-5.987027,0.000000,3.843252,0.0000,0.0000,-5.987027,15.438316,0.995329,33.00
0.247995,torque-chirp,foot_right_joint,RS02,-5.799111,0.000000,3.948156,0.0000,0.0000,-5.799111,16.502174,1.111542,33.00
0.255993,torque-chirp,foot_right_joint,RS02,-5.598156,0.000000,4.049704,0.0000,0.0000,-5.598156,17.633781,1.109467,33.00
0.263993,torque-chirp,foot_right_joint,RS02,-5.383780,0.000000,4.147756,0.0000,0.0000,-5.383780,18.693066,1.208042,33.00
0.271993,torque-chirp,foot_right_joint,RS02,-5.155213,0.000000,4.242111,0.0000,0.0000,-5.155213,20.005951,1.189365,33.00
0.279993,torque-chirp,foot_right_joint,RS02,-4.912457,0.000000,4.332570,0.0000,0.0000,-4.912457,21.209885,1.360571,33.00
0.287994,torque-chirp,foot_right_joint,RS02,-4.655511,0.000000,4.418958,0.0000,0.0000,-4.655511,22.338749,1.072113,33.00
0.295994,torque-chirp,foot_right_joint,RS02,-4.383225,0.000000,4.501048,0.0000,0.0000,-4.383225,23.830170,1.425941,33.00
0.303993,torque-chirp,foot_right_joint,RS02,-4.095983,0.000000,4.578670,0.0000,0.0000,-4.095983,25.075302,1.381842,33.00
0.311994,torque-chirp,foot_right_joint,RS02,-3.794168,0.000000,4.651657,0.0000,0.0000,-3.794168,26.252689,0.383657,33.00
0.319992,torque-chirp,foot_right_joint,RS02,-3.481614,0.000000,4.719775,0.0000,0.0000,-3.481614,26.846878,0.565239,33.00
0.327994,torque-chirp,foot_right_joint,RS02,-3.163692,0.000000,4.782902,0.0000,0.0000,-3.163692,27.391624,0.610376,33.00
0.335992,torque-chirp,foot_right_joint,RS02,-2.841934,0.000000,4.840807,0.0000,0.0000,-2.841934,27.616848,0.669001,33.00
0.343994,torque-chirp,foot_right_joint,RS02,-2.518259,0.000000,4.893347,0.0000,0.0000,-2.518259,27.753262,0.107134,33.00
0.351993,torque-chirp,foot_right_joint,RS02,-2.193051,0.000000,4.940321,0.0000,0.0000,-2.193051,27.853058,0.039688,33.00
0.359994,torque-chirp,foot_right_joint,RS02,-1.865925,0.000000,4.981579,0.0000,0.0000,-1.865925,27.955597,-0.161608,33.00
0.367994,torque-chirp,foot_right_joint,RS02,-1.538031,0.000000,5.016943,0.0000,0.0000,-1.538031,27.988556,0.255512,33.00
0.375992,torque-chirp,foot_right_joint,RS02,-1.209371,0.000000,5.046251,0.0000,0.0000,-1.209371,27.911652,0.645655,33.00
0.383992,torque-chirp,foot_right_joint,RS02,-0.880711,0.000000,5.069359,0.0000,0.0000,-0.880711,28.101166,0.123735,33.00
0.391994,torque-chirp,foot_right_joint,RS02,-0.551666,0.000000,5.086116,0.0000,0.0000,-0.551666,28.185394,-0.602076,33.00
0.399993,torque-chirp,foot_right_joint,RS02,-0.222239,0.000000,5.096371,0.0000,0.0000,-0.222239,28.076447,-0.172504,33.00
0.407993,torque-chirp,foot_right_joint,RS02,0.107572,0.000000,5.099995,0.0000,0.0000,0.107572,28.093842,0.147600,33.00
0.415994,torque-chirp,foot_right_joint,RS02,0.437766,0.000000,5.096859,0.0000,0.0000,0.437766,28.188141,0.308430,33.00
0.423994,torque-chirp,foot_right_joint,RS02,0.767577,0.000000,5.086844,0.0000,0.0000,0.767577,28.153351,0.380026,33.00
