t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-step,foot_right_joint,RS02,9.682828,0.000000,0.000000,0.0000,0.0000,9.682828,0.018768,-0.000259,33.00
0.008028,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.035248,-0.010117,33.00
0.016029,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.072784,0.003372,33.00
0.024022,torque-step,foot_right_joint,RS02,9.682828,0.000000,0.000000,0.0000,0.0000,9.682828,-0.036163,0.038132,33.00
0.032022,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.031586,-0.068743,33.00
0.040017,torque-step,foot_right_joint,RS02,9.682828,0.000000,0.000000,0.0000,0.0000,9.682828,-0.068209,-0.009598,33.00
0.048014,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.029755,0.006485,33.00
0.056018,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.027924,-0.006485,33.00
0.064016,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.005035,-0.015305,33.00
0.072011,torque-step,foot_right_joint,RS02,9.682828,0.000000,0.000000,0.0000,0.0000,9.682828,-0.061800,0.005966,33.00
0.080017,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.070040,0.012192,33.00
0.088014,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.004120,-0.000778,33.00
0.096010,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.081940,0.008041,33.00
0.104017,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.054474,-0.010117,33.00
0.112018,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.020599,0.012192,33.00
0.124011,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.044403,-0.021530,33.00
0.132008,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.016022,-0.036058,33.00
0.140021,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.008698,-0.033464,33.00
0.148016,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.009613,-0.009079,33.00
0.156013,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.012360,0.007004,33.00
0.164016,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.039825,0.007004,33.00
0.172016,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.042572,-0.010635,33.00
0.184012,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.021515,0.000259,33.00
0.196013,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.027924,0.019455,33.00
0.204014,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.042572,-0.011154,33.00
0.212019,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.012360,-0.002853,33.00
0.220018,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.020599,-0.006485,33.00
0.228012,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.055389,-0.002335,33.00
0.236015,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.035248,-0.004929,33.00
0.244025,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.022430,0.005966,33.00
0.252027,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.068207,0.007004,33.00
0.260018,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.043488,-0.025162,33.00
0.268015,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,0.054474,-0.014267,33.00
0.276019,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.076448,0.015305,33.00
0.284014,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.096590,-0.016861,33.00
0.292060,torque-step,foot_right_joint,RS02,9.683211,0.000000,0.000000,0.0000,0.0000,9.683211,-0.050812,-0.013748,33.00
0.300039,torque-step,foot_right_joint,RS02,9.683211,0.000000,5.100000,0.0000,0.0000,9.683211,-0.056305,-0.006485,33.00
0.308054,torque-step,foot_right_joint,RS02,9.683211,0.000000,5.100000,0.0000,0.0000,9.683211,-0.055389,-0.021011,33.00
