t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,hip_abduction_left_joint,RS03,0.035473,0.000000,0.000068,0.0000,0.0000,0.035473,0.003967,-0.000916,34.00
0.008047,torque-chirp,hip_abduction_left_joint,RS03,0.035473,0.000000,0.849220,0.0000,0.0000,0.035473,0.144350,0.072327,34.00
0.016003,torque-chirp,hip_abduction_left_joint,RS03,0.035089,0.000000,1.682884,0.0000,0.0000,0.035089,-0.108950,0.021057,34.00
0.023999,torque-chirp,hip_abduction_left_joint,RS03,0.035473,0.000000,2.505892,0.0000,0.0000,0.035473,0.041809,0.328682,34.00
0.031996,torque-chirp,hip_abduction_left_joint,RS03,0.036241,0.000000,3.305810,0.0000,0.0000,0.036241,0.079653,0.755325,34.00
0.039993,torque-chirp,hip_abduction_left_joint,RS03,0.037774,0.000000,4.073815,0.0000,0.0000,0.037774,0.219423,1.130692,34.00
0.047994,torque-chirp,hip_abduction_left_joint,RS03,0.041225,0.000000,4.801985,0.0000,0.0000,0.041225,0.498360,1.295494,34.00
0.056000,torque-chirp,hip_abduction_left_joint,RS03,0.047745,0.000000,5.482425,0.0000,0.0000,0.047745,0.944534,1.306480,34.00
0.064005,torque-chirp,hip_abduction_left_joint,RS03,0.057717,0.000000,6.106882,0.0000,0.0000,0.057717,1.404745,1.546349,34.00
0.071999,torque-chirp,hip_abduction_left_joint,RS03,0.072290,0.000000,6.667663,0.0000,0.0000,0.072290,2.074921,2.081024,34.00
0.079996,torque-chirp,hip_abduction_left_joint,RS03,0.091465,0.000000,7.159163,0.0000,0.0000,0.091465,2.714579,2.099335,34.00
0.087994,torque-chirp,hip_abduction_left_joint,RS03,0.115242,0.000000,7.575468,0.0000,0.0000,0.115242,3.109484,3.168690,34.00
0.099988,torque-chirp,hip_abduction_left_joint,RS03,0.155127,0.000000,8.047450,0.0000,0.0000,0.155127,3.479362,5.232315,34.00
0.107997,torque-chirp,hip_abduction_left_joint,RS03,0.184273,0.000000,8.254821,0.0000,0.0000,0.184273,3.701534,6.019684,34.00
0.115995,torque-chirp,hip_abduction_left_joint,RS03,0.213035,0.000000,8.372151,0.0000,0.0000,0.213035,3.598993,8.226143,34.00
0.123993,torque-chirp,hip_abduction_left_joint,RS03,0.239495,0.000000,8.397667,0.0000,0.0000,0.239495,3.031967,9.159996,34.00
0.131997,torque-chirp,hip_abduction_left_joint,RS03,0.262891,0.000000,8.330234,0.0000,0.0000,0.262891,2.853130,9.432823,34.00
0.139996,torque-chirp,hip_abduction_left_joint,RS03,0.284750,0.000000,8.169851,0.0000,0.0000,0.284750,2.544289,9.987640,34.00
0.147993,torque-chirp,hip_abduction_left_joint,RS03,0.304308,0.000000,7.917606,0.0000,0.0000,0.304308,2.342871,9.844818,34.00
0.155998,torque-chirp,hip_abduction_left_joint,RS03,0.322332,0.000000,7.575165,0.0000,0.0000,0.322332,2.350195,9.282677,34.00
0.163994,torque-chirp,hip_abduction_left_joint,RS03,0.340357,0.000000,7.146326,0.0000,0.0000,0.340357,2.113987,8.498970,34.00
0.171991,torque-chirp,hip_abduction_left_joint,RS03,0.359149,0.000000,6.634895,0.0000,0.0000,0.359149,2.474098,7.277641,34.00
0.179992,torque-chirp,hip_abduction_left_joint,RS03,0.379858,0.000000,6.045742,0.0000,0.0000,0.379858,2.623636,6.259552,34.00
0.187990,torque-chirp,hip_abduction_left_joint,RS03,0.402484,0.000000,5.385478,0.0000,0.0000,0.402484,3.072252,5.177383,34.00
0.195992,torque-chirp,hip_abduction_left_joint,RS03,0.427411,0.000000,4.660666,0.0000,0.0000,0.427411,3.297474,4.959488,34.00
0.203993,torque-chirp,hip_abduction_left_joint,RS03,0.454641,0.000000,3.879652,0.0000,0.0000,0.454641,3.597162,4.443115,34.00
0.211992,torque-chirp,hip_abduction_left_joint,RS03,0.483403,0.000000,3.051170,0.0000,0.0000,0.483403,3.573359,3.979855,34.00
0.220340,torque-chirp,hip_abduction_left_joint,RS03,0.513700,0.000000,2.145927,0.0000,0.0000,0.513700,3.671625,3.620968,34.00
0.228023,torque-chirp,hip_abduction_left_joint,RS03,0.540929,0.000000,1.285706,0.0000,0.0000,0.540929,3.522699,3.448841,34.00
0.236012,torque-chirp,hip_abduction_left_joint,RS03,0.567774,0.000000,0.374021,0.0000,0.0000,0.567774,3.188219,3.545895,34.00
0.244003,torque-chirp,hip_abduction_left_joint,RS03,0.592701,0.000000,-0.544955,0.0000,0.0000,0.592701,2.969711,3.280384,34.00
0.251999,torque-chirp,hip_abduction_left_joint,RS03,0.614944,0.000000,-1.460397,0.0000,0.0000,0.614944,2.580912,2.454563,34.00
0.259996,torque-chirp,hip_abduction_left_joint,RS03,0.633351,0.000000,-2.360802,0.0000,0.0000,0.633351,2.132908,2.498508,34.00
0.267995,torque-chirp,hip_abduction_left_joint,RS03,0.647925,0.000000,-3.235169,0.0000,0.0000,0.647925,1.585411,1.520714,34.00
0.275993,torque-chirp,hip_abduction_left_joint,RS03,0.658664,0.000000,-4.072179,0.0000,0.0000,0.658664,1.144732,1.533531,34.00
0.283994,torque-chirp,hip_abduction_left_joint,RS03,0.665183,0.000000,-4.861624,0.0000,0.0000,0.665183,0.574045,1.143509,34.00
0.291991,torque-chirp,hip_abduction_left_joint,RS03,0.665950,0.000000,-5.592722,0.0000,0.0000,0.665950,-0.254826,0.720535,34.00
0.299992,torque-chirp,hip_abduction_left_joint,RS03,0.661732,0.000000,-6.256449,0.0000,0.0000,0.661732,-0.613718,-0.453194,34.00
0.308003,torque-chirp,hip_abduction_left_joint,RS03,0.653678,0.000000,-6.844440,0.0000,0.0000,0.653678,-1.284504,-1.200275,34.00
0.315990,torque-chirp,hip_abduction_left_joint,RS03,0.640639,0.000000,-7.346259,0.0000,0.0000,0.640639,-1.793545,-1.855804,34.00
0.323987,torque-chirp,hip_abduction_left_joint,RS03,0.623381,0.000000,-7.757308,0.0000,0.0000,0.623381,-2.480202,-2.031586,34.00
0.331994,torque-chirp,hip_abduction_left_joint,RS03,0.599220,0.000000,-8.071184,0.0000,0.0000,0.599220,-3.409172,-2.174408,34.00
0.339996,torque-chirp,hip_abduction_left_joint,RS03,0.567774,0.000000,-8.282429,0.0000,0.0000,0.567774,-4.305791,-2.324558,34.00
0.347995,torque-chirp,hip_abduction_left_joint,RS03,0.529039,0.000000,-8.387745,0.0000,0.0000,0.529039,-5.088883,-2.765850,34.00
0.355995,torque-chirp,hip_abduction_left_joint,RS03,0.484553,0.000000,-8.384997,0.0000,0.0000,0.484553,-5.716334,-3.972534,34.00
0.363996,torque-chirp,hip_abduction_left_joint,RS03,0.438149,0.000000,-8.273311,0.0000,0.0000,0.438149,-5.677882,-6.678871,34.00
0.371993,torque-chirp,hip_abduction_left_joint,RS03,0.391363,0.000000,-8.053412,0.0000,0.0000,0.391363,-5.963531,-6.631264,34.00
0.379994,torque-chirp,hip_abduction_left_joint,RS03,0.343425,0.000000,-7.727114,0.0000,0.0000,0.343425,-5.971465,-8.405586,34.00
0.387993,torque-chirp,hip_abduction_left_joint,RS03,0.301623,0.000000,-7.298101,0.0000,0.0000,0.301623,-4.976578,-11.555046,34.00
0.395992,torque-chirp,hip_abduction_left_joint,RS03,0.264424,0.000000,-6.771202,0.0000,0.0000,0.264424,-4.383917,-10.773174,34.00
0.403993,torque-chirp,hip_abduction_left_joint,RS03,0.232209,0.000000,-6.152566,0.0000,0.0000,0.232209,-3.684443,-11.425041,34.00
0.411991,torque-chirp,hip_abduction_left_joint,RS03,0.204981,0.000000,-5.449978,0.0000,0.0000,0.204981,-3.330435,-9.520714,34.00
0.419994,torque-chirp,hip_abduction_left_joint,RS03,0.178904,0.000000,-4.671755,0.0000,0.0000,0.178904,-3.321280,-7.546806,34.00
0.427994,torque-chirp,hip_abduction_left_joint,RS03,0.152059,0.000000,-3.828588,0.0000,0.0000,0.152059,-3.337759,-5.530785,34.00
0.435992,torque-chirp,hip_abduction_left_joint,RS03,0.122911,0.000000,-2.931277,0.0000,0.0000,0.122911,-3.785763,-3.588005,34.00
0.443992,torque-chirp,hip_abduction_left_joint,RS03,0.089931,0.000000,-1.991341,0.0000,0.0000,0.089931,-4.137331,-2.575417,34.00
0.451992,torque-chirp,hip_abduction_left_joint,RS03,0.053883,0.000000,-1.021636,0.0000,0.0000,0.053883,-4.617685,-1.848480,34.00
0.459992,torque-chirp,hip_abduction_left_joint,RS03,0.016682,0.000000,-0.035350,0.0000,0.0000,0.016682,-4.621347,-1.500572,34.00
0.467993,torque-chirp,hip_abduction_left_joint,RS03,-0.020901,0.000000,0.954115,0.0000,0.0000,-0.020901,-4.770885,-1.268024,34.00
0.476001,torque-chirp,hip_abduction_left_joint,RS03,-0.058484,0.000000,1.933704,0.0000,0.0000,-0.058484,-4.654918,-0.967728,34.00
0.483999,torque-chirp,hip_abduction_left_joint,RS03,-0.094150,0.000000,2.887257,0.0000,0.0000,-0.094150,-4.367437,-0.650951,34.00
0.491994,torque-chirp,hip_abduction_left_joint,RS03,-0.128282,0.000000,3.802213,0.0000,0.0000,-0.128282,-3.998169,-0.218815,34.00
0.499992,torque-chirp,hip_abduction_left_joint,RS03,-0.160111,0.000000,4.666000,0.0000,0.0000,-0.160111,-3.870604,-0.013733,34.00
0.507993,torque-chirp,hip_abduction_left_joint,RS03,-0.189258,0.000000,5.465636,0.0000,0.0000,-0.189258,-3.343252,0.279243,34.00
0.516133,torque-chirp,hip_abduction_left_joint,RS03,-0.213801,0.000000,6.200900,0.0000,0.0000,-0.213801,-2.766460,1.035477,34.00
