t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,friction-sweep,hip_abduction_right_joint,RS03,-8.522352,0.000000,0.000000,0.0000,2.0000,-8.522352,-0.092470,-0.000916,32.00
0.008053,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.041201,-0.037537,32.00
0.016034,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.017395,-0.061340,32.00
0.024025,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.019226,-0.028381,32.00
0.032016,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.007629,-0.101624,32.00
0.040012,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.040588,-0.011902,32.00
0.048009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.010071,-0.037537,32.00
0.056008,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.077822,-0.024719,32.00
0.064009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.039980,-0.008240,32.00
0.071999,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.046083,-0.075989,32.00
0.080009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.070498,0.011902,32.00
0.088009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.011292,0.026550,32.00
0.096009,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.136415,-0.019226,32.00
0.104007,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.056459,0.028381,32.00
0.112010,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.032654,0.015564,32.00
0.120008,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.066835,0.026550,32.00
0.128009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.007629,-0.022888,32.00
0.136008,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.071108,0.008240,32.00
0.144009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.063784,0.048523,32.00
0.152007,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.033264,0.024719,32.00
0.160006,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.061342,-0.035706,32.00
0.168006,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.044252,0.002747,32.00
0.176008,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.063171,0.008240,32.00
0.184008,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.013123,-0.057678,32.00
0.192009,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.058899,-0.017395,32.00
0.200008,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.126040,0.032043,32.00
0.208058,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,-0.013123,0.063171,32.00
0.216028,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.028381,0.006409,32.00
0.224032,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.080873,0.015564,32.00
0.232016,friction-sweep,hip_abduction_right_joint,RS03,-8.524269,0.000000,0.000000,0.0000,2.0000,-8.524269,0.074768,-0.030212,32.00
0.240010,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.054016,0.070496,32.00
0.248008,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.031433,-0.008240,32.00
0.256006,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.083925,-0.000916,32.00
0.264005,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.046083,0.019226,32.00
0.272008,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.077211,0.008240,32.00
0.280008,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.080873,-0.075989,32.00
0.288006,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.016174,0.061340,32.00
0.296293,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.001526,0.006409,32.00
0.304041,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.140688,-0.013733,32.00
0.312028,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.032654,0.000916,32.00
0.320023,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.027771,0.035706,32.00
0.328020,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.087587,0.063171,32.00
0.336015,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.043640,-0.015564,32.00
0.344011,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.054628,-0.026550,32.00
0.352008,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.027161,-0.011902,32.00
0.360009,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.070496,-0.068665,32.00
0.368010,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.077822,-0.021057,32.00
0.376011,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.047304,0.033875,32.00
0.384013,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,-0.069277,0.010071,32.00
0.392010,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,0.000000,0.000000,0.0000,2.0000,-8.524652,0.144960,0.043030,32.00
0.400008,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,2.000000,0.000000,0.0000,2.0000,-8.524652,-0.057680,0.019226,32.00
0.408009,friction-sweep,hip_abduction_right_joint,RS03,-8.524652,2.000000,0.000000,0.0000,2.0000,-8.524652,-0.065615,-0.037537,32.00
0.416010,friction-sweep,hip_abduction_right_joint,RS03,-8.523502,2.000000,0.000000,0.0000,2.0000,-8.523502,0.325016,1.282677,32.00
0.424010,friction-sweep,hip_abduction_right_joint,RS03,-8.519668,2.000000,0.000000,0.0000,2.0000,-8.519668,0.486763,1.174644,32.00
0.432010,friction-sweep,hip_abduction_right_joint,RS03,-8.514299,2.000000,0.000000,0.0000,2.0000,-8.514299,0.754101,0.852371,32.00
0.440009,friction-sweep,hip_abduction_right_joint,RS03,-8.506629,2.000000,0.000000,0.0000,2.0000,-8.506629,1.039751,0.603340,32.00
0.448009,friction-sweep,hip_abduction_right_joint,RS03,-8.497425,2.000000,0.000000,0.0000,2.0000,-8.497425,1.200886,0.594185,32.00
0.456009,friction-sweep,hip_abduction_right_joint,RS03,-8.486687,2.000000,0.000000,0.0000,2.0000,-8.486687,1.324787,0.881668,32.00
0.464008,friction-sweep,hip_abduction_right_joint,RS03,-8.475182,2.000000,0.000000,0.0000,2.0000,-8.475182,1.435873,0.617989,32.00
0.472010,friction-sweep,hip_abduction_right_joint,RS03,-8.463293,2.000000,0.000000,0.0000,2.0000,-8.463293,1.532921,0.394600,32.00
0.480008,friction-sweep,hip_abduction_right_joint,RS03,-8.450638,2.000000,0.000000,0.0000,2.0000,-8.450638,1.571373,0.702217,32.00
0.488010,friction-sweep,hip_abduction_right_joint,RS03,-8.437983,2.000000,0.000000,0.0000,2.0000,-8.437983,1.637291,0.277412,32.00
0.496141,friction-sweep,hip_abduction_right_joint,RS03,-8.424560,2.000000,0.000000,0.0000,2.0000,-8.424560,1.623253,0.482491,32.00
0.504018,friction-sweep,hip_abduction_right_joint,RS03,-8.410753,2.000000,0.000000,0.0000,2.0000,-8.410753,1.694668,0.511787,32.00
0.512011,friction-sweep,hip_abduction_right_joint,RS03,-8.397331,2.000000,0.000000,0.0000,2.0000,-8.397331,1.819181,0.312202,32.00
