t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,noload-speed,hip_abduction_right_joint,RS03,3.149503,0.000000,0.000003,0.0000,0.0000,3.149503,0.064392,-0.000916,31.00
0.008039,noload-speed,hip_abduction_right_joint,RS03,3.149503,0.000000,0.048236,0.0000,0.0000,3.149503,0.199892,-0.013733,31.00
0.016014,noload-speed,hip_abduction_right_joint,RS03,3.149503,0.000000,0.096086,0.0000,0.0000,3.149503,0.009460,-0.063171,31.00
0.024006,noload-speed,hip_abduction_right_joint,RS03,3.149503,0.000000,0.144034,0.0000,0.0000,3.149503,0.073547,-0.011902,31.00
0.032003,noload-speed,hip_abduction_right_joint,RS03,3.149503,0.000000,0.192020,0.0000,0.0000,3.149503,0.116884,0.070496,31.00
0.040003,noload-speed,hip_abduction_right_joint,RS03,3.149503,0.000000,0.240017,0.0000,0.0000,3.149503,0.076599,0.070496,31.00
0.047999,noload-speed,hip_abduction_right_joint,RS03,3.149886,0.000000,0.287996,0.0000,0.0000,3.149886,0.069885,0.110779,31.00
0.056001,noload-speed,hip_abduction_right_joint,RS03,3.149886,0.000000,0.336005,0.0000,0.0000,3.149886,-0.012512,0.134583,31.00
0.064002,noload-speed,hip_abduction_right_joint,RS03,3.150270,0.000000,0.384011,0.0000,0.0000,3.150270,0.025940,0.204163,31.00
0.072001,noload-speed,hip_abduction_right_joint,RS03,3.150270,0.000000,0.432003,0.0000,0.0000,3.150270,0.065002,0.200500,31.00
0.080000,noload-speed,hip_abduction_right_joint,RS03,3.151036,0.000000,0.479997,0.0000,0.0000,3.151036,0.163881,0.213318,31.00
0.088001,noload-speed,hip_abduction_right_joint,RS03,3.151420,0.000000,0.528007,0.0000,0.0000,3.151420,0.183413,0.251778,31.00
0.096002,noload-speed,hip_abduction_right_joint,RS03,3.152571,0.000000,0.576010,0.0000,0.0000,3.152571,0.148012,0.185852,31.00
0.104001,noload-speed,hip_abduction_right_joint,RS03,3.154104,0.000000,0.624006,0.0000,0.0000,3.154104,0.262150,0.173035,31.00
0.112001,noload-speed,hip_abduction_right_joint,RS03,3.156405,0.000000,0.672004,0.0000,0.0000,3.156405,0.431221,0.158386,31.00
0.119999,noload-speed,hip_abduction_right_joint,RS03,3.159473,0.000000,0.719994,0.0000,0.0000,3.159473,0.470284,0.151062,31.00
0.127999,noload-speed,hip_abduction_right_joint,RS03,3.162925,0.000000,0.767996,0.0000,0.0000,3.162925,0.466011,0.431221,31.00
0.136000,noload-speed,hip_abduction_right_joint,RS03,3.166759,0.000000,0.816000,0.0000,0.0000,3.166759,0.494698,0.672920,31.00
0.144001,noload-speed,hip_abduction_right_joint,RS03,3.170211,0.000000,0.864005,0.0000,0.0000,3.170211,0.413521,0.713211,31.00
0.152003,noload-speed,hip_abduction_right_joint,RS03,3.173662,0.000000,0.912018,0.0000,0.0000,3.173662,0.433052,0.585030,31.00
0.160253,noload-speed,hip_abduction_right_joint,RS03,3.177881,0.000000,0.961520,0.0000,0.0000,3.177881,0.674143,0.433052,31.00
0.168041,noload-speed,hip_abduction_right_joint,RS03,3.182483,0.000000,1.008247,0.0000,0.0000,3.182483,0.506294,0.396431,31.00
0.176082,noload-speed,hip_abduction_right_joint,RS03,3.187469,0.000000,1.056491,0.0000,0.0000,3.187469,0.700998,0.372627,31.00
0.184070,noload-speed,hip_abduction_right_joint,RS03,3.193989,0.000000,1.104420,0.0000,0.0000,3.193989,0.897537,0.266426,31.00
0.192034,noload-speed,hip_abduction_right_joint,RS03,3.200892,0.000000,1.152203,0.0000,0.0000,3.200892,0.873123,0.760818,31.00
0.204009,noload-speed,hip_abduction_right_joint,RS03,3.212013,0.000000,1.224053,0.0000,0.0000,3.212013,0.873123,0.645454,31.00
