t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,hip_abduction_right_joint,RS03,-0.001726,0.000000,0.000064,0.0000,0.0000,-0.001726,-0.079653,-0.000916,34.00
0.008063,torque-chirp,hip_abduction_right_joint,RS03,-0.001726,0.000000,0.850935,0.0000,0.0000,-0.001726,-0.049135,0.044861,34.00
0.016027,torque-chirp,hip_abduction_right_joint,RS03,-0.002110,0.000000,1.685300,0.0000,0.0000,-0.002110,-0.039980,0.059509,34.00
0.024019,torque-chirp,hip_abduction_right_joint,RS03,-0.001726,0.000000,2.507970,0.0000,0.0000,-0.001726,0.086977,0.297554,34.00
0.032018,torque-chirp,hip_abduction_right_joint,RS03,-0.000958,0.000000,3.307947,0.0000,0.0000,-0.000958,0.094912,0.650948,34.00
0.040064,torque-chirp,hip_abduction_right_joint,RS03,0.000575,0.000000,4.080475,0.0000,0.0000,0.000575,0.242008,1.101395,34.00
0.048018,torque-chirp,hip_abduction_right_joint,RS03,0.003260,0.000000,4.804100,0.0000,0.0000,0.003260,0.435493,1.482262,34.00
0.056020,torque-chirp,hip_abduction_right_joint,RS03,0.007862,0.000000,5.484106,0.0000,0.0000,0.007862,0.756542,1.756927,34.00
0.064024,torque-chirp,hip_abduction_right_joint,RS03,0.015532,0.000000,6.108308,0.0000,0.0000,0.015532,1.230793,2.238499,34.00
0.072019,torque-chirp,hip_abduction_right_joint,RS03,0.026269,0.000000,6.668945,0.0000,0.0000,0.026269,1.547569,2.758526,34.00
0.080018,torque-chirp,hip_abduction_right_joint,RS03,0.040842,0.000000,7.160457,0.0000,0.0000,0.040842,2.054169,2.886700,34.00
0.088018,torque-chirp,hip_abduction_right_joint,RS03,0.059635,0.000000,7.576590,0.0000,0.0000,0.059635,2.499123,3.723507,34.00
0.096018,torque-chirp,hip_abduction_right_joint,RS03,0.081494,0.000000,7.912163,0.0000,0.0000,0.081494,2.894028,4.313110,34.00
0.104017,torque-chirp,hip_abduction_right_joint,RS03,0.106038,0.000000,8.162858,0.0000,0.0000,0.106038,3.178453,5.246964,34.00
0.112016,torque-chirp,hip_abduction_right_joint,RS03,0.132882,0.000000,8.325146,0.0000,0.0000,0.132882,3.269398,6.453651,34.00
0.120013,torque-chirp,hip_abduction_right_joint,RS03,0.159346,0.000000,8.396534,0.0000,0.0000,0.159346,3.300526,7.656670,34.00
0.128013,torque-chirp,hip_abduction_right_joint,RS03,0.185423,0.000000,8.375448,0.0000,0.0000,0.185423,3.160753,8.189514,34.00
0.136016,torque-chirp,hip_abduction_right_joint,RS03,0.211117,0.000000,8.261229,0.0000,0.0000,0.211117,3.150988,9.165489,34.00
0.144013,torque-chirp,hip_abduction_right_joint,RS03,0.234510,0.000000,8.054541,0.0000,0.0000,0.234510,2.798809,9.359581,34.00
0.152014,torque-chirp,hip_abduction_right_joint,RS03,0.257138,0.000000,7.756690,0.0000,0.0000,0.257138,2.865337,8.863358,34.00
0.160014,torque-chirp,hip_abduction_right_joint,RS03,0.278997,0.000000,7.370363,0.0000,0.0000,0.278997,2.611429,8.947586,34.00
0.168015,torque-chirp,hip_abduction_right_joint,RS03,0.300857,0.000000,6.899150,0.0000,0.0000,0.300857,2.806744,7.799500,34.00
0.176012,torque-chirp,hip_abduction_right_joint,RS03,0.323483,0.000000,6.348109,0.0000,0.0000,0.323483,2.952621,6.790565,34.00
