t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,hip_abduction_right_joint,RS03,7.354592,0.000000,0.000022,0.0000,0.0000,7.354592,-0.025330,-0.000916,32.00
0.008084,torque-chirp,hip_abduction_right_joint,RS03,7.354592,0.000000,0.321372,0.0000,0.0000,7.354592,0.013733,0.030212,32.00
0.016015,torque-chirp,hip_abduction_right_joint,RS03,7.354592,0.000000,0.639230,0.0000,0.0000,7.354592,0.057678,0.013733,32.00
0.024012,torque-chirp,hip_abduction_right_joint,RS03,7.354592,0.000000,0.962118,0.0000,0.0000,7.354592,0.040588,0.083313,32.00
0.032012,torque-chirp,hip_abduction_right_joint,RS03,7.354592,0.000000,1.287216,0.0000,0.0000,7.354592,0.037537,0.275581,32.00
0.040005,torque-chirp,hip_abduction_right_joint,RS03,7.354976,0.000000,1.613963,0.0000,0.0000,7.354976,0.035706,0.608833,32.00
0.048017,torque-chirp,hip_abduction_right_joint,RS03,7.355742,0.000000,1.943099,0.0000,0.0000,7.355742,0.072327,0.819412,32.00
0.056010,torque-chirp,hip_abduction_right_joint,RS03,7.356893,0.000000,2.272885,0.0000,0.0000,7.356893,0.217592,0.905472,32.00
0.064000,torque-chirp,hip_abduction_right_joint,RS03,7.358809,0.000000,2.603673,0.0000,0.0000,7.358809,0.338444,0.888992,32.00
0.072010,torque-chirp,hip_abduction_right_joint,RS03,7.362645,0.000000,2.936080,0.0000,0.0000,7.362645,0.524605,0.826736,32.00
0.080006,torque-chirp,hip_abduction_right_joint,RS03,7.368781,0.000000,3.268512,0.0000,0.0000,7.368781,0.833447,0.810257,32.00
0.088002,torque-chirp,hip_abduction_right_joint,RS03,7.376834,0.000000,3.601179,0.0000,0.0000,7.376834,1.206989,0.854202,32.00
0.096007,torque-chirp,hip_abduction_right_joint,RS03,7.387956,0.000000,3.934105,0.0000,0.0000,7.387956,1.554893,1.306480,32.00
0.104007,torque-chirp,hip_abduction_right_joint,RS03,7.401378,0.000000,4.266493,0.0000,0.0000,7.401378,1.852140,1.372398,32.00
0.112000,torque-chirp,hip_abduction_right_joint,RS03,7.418637,0.000000,4.597812,0.0000,0.0000,7.418637,2.270849,1.242393,32.00
0.120006,torque-chirp,hip_abduction_right_joint,RS03,7.439345,0.000000,4.928625,0.0000,0.0000,7.439345,2.816509,1.214928,32.00
0.132002,torque-chirp,hip_abduction_right_joint,RS03,7.477311,0.000000,5.421548,0.0000,0.0000,7.477311,3.625238,1.330284,32.00
0.140000,torque-chirp,hip_abduction_right_joint,RS03,7.507607,0.000000,5.747780,0.0000,0.0000,7.507607,3.956663,1.647064,32.00
0.148275,torque-chirp,hip_abduction_right_joint,RS03,7.544808,0.000000,6.082826,0.0000,0.0000,7.544808,4.654308,1.597618,32.00
0.156031,torque-chirp,hip_abduction_right_joint,RS03,7.584308,0.000000,6.394191,0.0000,0.0000,7.584308,5.323261,1.720306,32.00
0.164017,torque-chirp,hip_abduction_right_joint,RS03,7.630330,0.000000,6.711684,0.0000,0.0000,7.630330,6.204624,2.112156,32.00
0.172012,torque-chirp,hip_abduction_right_joint,RS03,7.682485,0.000000,7.025997,0.0000,0.0000,7.682485,6.796062,1.971161,32.00
0.180011,torque-chirp,hip_abduction_right_joint,RS03,7.740394,0.000000,7.336526,0.0000,0.0000,7.740394,7.621271,2.394138,32.00
0.188007,torque-chirp,hip_abduction_right_joint,RS03,7.804437,0.000000,7.642534,0.0000,0.0000,7.804437,8.409248,2.408787,32.00
0.196006,torque-chirp,hip_abduction_right_joint,RS03,7.875770,0.000000,7.943871,0.0000,0.0000,7.875770,9.216755,2.564426,32.00
0.204007,torque-chirp,hip_abduction_right_joint,RS03,7.954387,0.000000,8.240002,0.0000,0.0000,7.954387,10.092623,2.789654,32.00
0.212007,torque-chirp,hip_abduction_right_joint,RS03,8.040292,0.000000,8.530408,0.0000,0.0000,8.040292,11.221790,2.353855,32.00
0.220006,torque-chirp,hip_abduction_right_joint,RS03,8.133483,0.000000,8.814656,0.0000,0.0000,8.133483,12.151981,2.736553,32.00
0.228006,torque-chirp,hip_abduction_right_joint,RS03,8.235494,0.000000,9.092328,0.0000,0.0000,8.235494,13.104752,3.011211,32.00
0.236007,torque-chirp,hip_abduction_right_joint,RS03,8.344790,0.000000,9.362954,0.0000,0.0000,8.344790,14.090485,3.084461,32.00
0.244007,torque-chirp,hip_abduction_right_joint,RS03,8.463292,0.000000,9.626064,0.0000,0.0000,8.463292,15.296558,2.833599,32.00
0.252006,torque-chirp,hip_abduction_right_joint,RS03,8.590232,0.000000,9.881131,0.0000,0.0000,8.590232,16.334175,3.219959,32.00
0.260006,torque-chirp,hip_abduction_right_joint,RS03,8.727141,0.000000,10.127778,0.0000,0.0000,8.727141,17.543907,3.241932,32.00
0.268007,torque-chirp,hip_abduction_right_joint,RS03,8.873256,0.000000,10.365534,0.0000,0.0000,8.873256,18.729839,2.163425,32.00
0.276007,torque-chirp,hip_abduction_right_joint,RS03,9.030108,0.000000,10.593895,0.0000,0.0000,9.030108,20.000000,2.785992,32.00
0.284007,torque-chirp,hip_abduction_right_joint,RS03,9.195014,0.000000,10.812353,0.0000,0.0000,9.195014,20.000000,0.508125,32.00
0.292007,torque-chirp,hip_abduction_right_joint,RS03,9.361068,0.000000,11.020509,0.0000,0.0000,9.361068,20.000000,-0.101624,32.00
0.300008,torque-chirp,hip_abduction_right_joint,RS03,9.530576,0.000000,11.217877,0.0000,0.0000,9.530576,20.000000,-0.209660,32.00
0.308007,torque-chirp,hip_abduction_right_joint,RS03,9.698550,0.000000,11.403940,0.0000,0.0000,9.698550,20.000000,1.000687,32.00
0.316005,torque-chirp,hip_abduction_right_joint,RS03,9.868058,0.000000,11.578246,0.0000,0.0000,9.868058,20.000000,0.528267,32.00
0.324008,torque-chirp,hip_abduction_right_joint,RS03,10.037948,0.000000,11.740469,0.0000,0.0000,10.037948,20.000000,0.617989,32.00
0.332006,torque-chirp,hip_abduction_right_joint,RS03,10.208222,0.000000,11.889982,0.0000,0.0000,10.208222,20.000000,-0.195011,32.00
0.340006,torque-chirp,hip_abduction_right_joint,RS03,10.378497,0.000000,12.026436,0.0000,0.0000,10.378497,20.000000,-0.407417,32.00
0.348007,torque-chirp,hip_abduction_right_joint,RS03,10.549922,0.000000,12.149409,0.0000,0.0000,10.549922,20.000000,-0.636303,32.00
0.356006,torque-chirp,hip_abduction_right_joint,RS03,10.719047,0.000000,12.258421,0.0000,0.0000,10.719047,20.000000,0.204163,32.00
0.364006,torque-chirp,hip_abduction_right_joint,RS03,10.889705,0.000000,12.353088,0.0000,0.0000,10.889705,20.000000,0.275581,32.00
0.372007,torque-chirp,hip_abduction_right_joint,RS03,11.059979,0.000000,12.433025,0.0000,0.0000,11.059979,20.000000,0.689400,32.00
0.380006,torque-chirp,hip_abduction_right_joint,RS03,11.230252,0.000000,12.497790,0.0000,0.0000,11.230252,20.000000,0.682076,32.00
0.388006,torque-chirp,hip_abduction_right_joint,RS03,11.400527,0.000000,12.547051,0.0000,0.0000,11.400527,20.000000,0.387276,32.00
0.396007,torque-chirp,hip_abduction_right_joint,RS03,11.571568,0.000000,12.580436,0.0000,0.0000,11.571568,20.000000,0.035706,32.00
0.404006,torque-chirp,hip_abduction_right_joint,RS03,11.740693,0.000000,12.597592,0.0000,0.0000,11.740693,20.000000,-0.491646,32.00
0.412006,torque-chirp,hip_abduction_right_joint,RS03,11.910968,0.000000,12.598209,0.0000,0.0000,11.910968,20.000000,-0.588696,32.00
0.420008,torque-chirp,hip_abduction_right_joint,RS03,12.080859,0.000000,12.581969,0.0000,0.0000,12.080859,20.000000,-0.119938,32.00
0.428006,torque-chirp,hip_abduction_right_joint,RS03,12.251134,0.000000,12.548604,0.0000,0.0000,12.251134,20.000000,0.610664,32.00
0.436006,torque-chirp,hip_abduction_right_joint,RS03,12.421409,0.000000,12.497843,0.0000,0.0000,12.421409,20.000000,0.469673,32.00
0.444006,torque-chirp,hip_abduction_right_joint,RS03,-12.533773,0.000000,12.429438,0.0000,0.0000,-12.533773,20.000000,0.868851,32.00
0.452004,torque-chirp,hip_abduction_right_joint,RS03,-12.363499,0.000000,12.343217,0.0000,0.0000,-12.363499,20.000000,0.431221,32.00
0.460006,torque-chirp,hip_abduction_right_joint,RS03,-12.193224,0.000000,12.238914,0.0000,0.0000,-12.193224,20.000000,0.412910,32.00
0.468009,torque-chirp,hip_abduction_right_joint,RS03,-12.022950,0.000000,12.116384,0.0000,0.0000,-12.022950,20.000000,-0.416573,32.00
0.476007,torque-chirp,hip_abduction_right_joint,RS03,-11.852675,0.000000,11.975621,0.0000,0.0000,-11.852675,20.000000,-0.422066,32.00
0.484006,torque-chirp,hip_abduction_right_joint,RS03,-11.681251,0.000000,11.816405,0.0000,0.0000,-11.681251,20.000000,-0.163883,32.00
0.492007,torque-chirp,hip_abduction_right_joint,RS03,-11.511744,0.000000,11.638659,0.0000,0.0000,-11.511744,20.000000,-0.008240,32.00
0.500006,torque-chirp,hip_abduction_right_joint,RS03,-11.339934,0.000000,11.442454,0.0000,0.0000,-11.339934,20.000000,0.180359,32.00
0.508160,torque-chirp,hip_abduction_right_joint,RS03,-11.169276,0.000000,11.223352,0.0000,0.0000,-11.169276,20.000000,1.075760,32.00
0.516013,torque-chirp,hip_abduction_right_joint,RS03,-10.999769,0.000000,10.994201,0.0000,0.0000,-10.999769,20.000000,0.319527,32.00
0.524010,torque-chirp,hip_abduction_right_joint,RS03,-10.829111,0.000000,10.742576,0.0000,0.0000,-10.829111,20.000000,1.198448,32.00
0.532014,torque-chirp,hip_abduction_right_joint,RS03,-10.657303,0.000000,10.472450,0.0000,0.0000,-10.657303,20.000000,-0.052185,32.00
0.540007,torque-chirp,hip_abduction_right_joint,RS03,-10.487411,0.000000,10.184500,0.0000,0.0000,-10.487411,20.000000,0.184021,32.00
0.548006,torque-chirp,hip_abduction_right_joint,RS03,-10.315603,0.000000,9.878381,0.0000,0.0000,-10.315603,20.000000,-0.702221,32.00
0.556006,torque-chirp,hip_abduction_right_joint,RS03,-10.145712,0.000000,9.554473,0.0000,0.0000,-10.145712,20.000000,0.004578,32.00
0.564006,torque-chirp,hip_abduction_right_joint,RS03,-9.974670,0.000000,9.213050,0.0000,0.0000,-9.974670,20.000000,0.163879,32.00
0.572005,torque-chirp,hip_abduction_right_joint,RS03,-9.803629,0.000000,8.854515,0.0000,0.0000,-9.803629,20.000000,1.101395,32.00
0.580007,torque-chirp,hip_abduction_right_joint,RS03,-9.631821,0.000000,8.479053,0.0000,0.0000,-9.631821,20.000000,0.325020,32.00
0.588006,torque-chirp,hip_abduction_right_joint,RS03,-9.461929,0.000000,8.087257,0.0000,0.0000,-9.461929,20.000000,1.220421,32.00
0.596029,torque-chirp,hip_abduction_right_joint,RS03,-9.289738,0.000000,7.678247,0.0000,0.0000,-9.289738,20.000000,0.460518,32.00
0.604007,torque-chirp,hip_abduction_right_joint,RS03,-9.119080,0.000000,7.256057,0.0000,0.0000,-9.119080,20.000000,0.868851,32.00
0.612006,torque-chirp,hip_abduction_right_joint,RS03,-8.949189,0.000000,6.817810,0.0000,0.0000,-8.949189,20.000000,-0.151066,32.00
0.620006,torque-chirp,hip_abduction_right_joint,RS03,-8.778531,0.000000,6.365152,0.0000,0.0000,-8.778531,20.000000,-0.008240,32.00
0.628005,torque-chirp,hip_abduction_right_joint,RS03,-8.607873,0.000000,5.898699,0.0000,0.0000,-8.607873,20.000000,-0.720531,32.00
0.636007,torque-chirp,hip_abduction_right_joint,RS03,-8.436831,0.000000,5.419011,0.0000,0.0000,-8.436831,20.000000,-0.376289,32.00
0.644009,torque-chirp,hip_abduction_right_joint,RS03,-8.265023,0.000000,4.926901,0.0000,0.0000,-8.265023,20.000000,-0.264591,32.00
0.652006,torque-chirp,hip_abduction_right_joint,RS03,-8.095516,0.000000,4.423501,0.0000,0.0000,-8.095516,20.000000,0.795609,32.00
0.660008,torque-chirp,hip_abduction_right_joint,RS03,-7.924858,0.000000,3.908911,0.0000,0.0000,-7.924858,20.000000,0.469673,32.00
0.668006,torque-chirp,hip_abduction_right_joint,RS03,-7.754200,0.000000,3.384581,0.0000,0.0000,-7.754200,20.000000,0.650948,32.00
0.676005,torque-chirp,hip_abduction_right_joint,RS03,-7.583925,0.000000,2.851057,0.0000,0.0000,-7.583925,20.000000,0.198669,32.00
0.684007,torque-chirp,hip_abduction_right_joint,RS03,-7.413651,0.000000,2.309117,0.0000,0.0000,-7.413651,20.000000,0.264595,32.00
0.692007,torque-chirp,hip_abduction_right_joint,RS03,-7.242993,0.000000,1.760198,0.0000,0.0000,-7.242993,20.000000,-0.539253,32.00
0.700005,torque-chirp,hip_abduction_right_joint,RS03,-7.072718,0.000000,1.205092,0.0000,0.0000,-7.072718,20.000000,-0.799267,32.00
0.708008,torque-chirp,hip_abduction_right_joint,RS03,-6.902444,0.000000,0.644569,0.0000,0.0000,-6.902444,20.000000,-0.288395,32.00
0.716006,torque-chirp,hip_abduction_right_joint,RS03,-6.732553,0.000000,0.080285,0.0000,0.0000,-6.732553,20.000000,0.445869,32.00
0.724006,torque-chirp,hip_abduction_right_joint,RS03,-6.561895,0.000000,-0.487080,0.0000,0.0000,-6.561895,20.000000,0.495308,32.00
0.732007,torque-chirp,hip_abduction_right_joint,RS03,-6.392004,0.000000,-1.056278,0.0000,0.0000,-6.392004,20.000000,0.583199,32.00
0.740007,torque-chirp,hip_abduction_right_joint,RS03,-6.220963,0.000000,-1.626026,0.0000,0.0000,-6.220963,20.000000,0.314034,32.00
0.748008,torque-chirp,hip_abduction_right_joint,RS03,-6.052989,0.000000,-2.195224,0.0000,0.0000,-6.052989,20.000000,-0.204166,32.00
0.756005,torque-chirp,hip_abduction_right_joint,RS03,-5.884632,0.000000,-2.762302,0.0000,0.0000,-5.884632,20.000000,-1.033646,32.00
0.764009,torque-chirp,hip_abduction_right_joint,RS03,-5.718960,0.000000,-3.326660,0.0000,0.0000,-5.718960,20.000000,-0.310368,32.00
0.772010,torque-chirp,hip_abduction_right_joint,RS03,-5.555204,0.000000,-3.886448,0.0000,0.0000,-5.555204,20.000000,-0.059509,32.00
0.780008,torque-chirp,hip_abduction_right_joint,RS03,-5.396435,0.000000,-4.440235,0.0000,0.0000,-5.396435,19.795528,-2.456394,32.00
0.788006,torque-chirp,hip_abduction_right_joint,RS03,-5.239200,0.000000,-4.986984,0.0000,0.0000,-5.239200,19.331657,0.205994,32.00
0.796005,torque-chirp,hip_abduction_right_joint,RS03,-5.088100,0.000000,-5.525411,0.0000,0.0000,-5.088100,18.613869,-0.310368,32.00
0.804007,torque-chirp,hip_abduction_right_joint,RS03,-4.941603,0.000000,-6.054174,0.0000,0.0000,-4.941603,18.114594,-0.460518,32.00
0.812006,torque-chirp,hip_abduction_right_joint,RS03,-4.801242,0.000000,-6.571704,0.0000,0.0000,-4.801242,17.251545,-1.346764,32.00
0.820006,torque-chirp,hip_abduction_right_joint,RS03,-4.668550,0.000000,-7.076743,0.0000,0.0000,-4.668550,16.274967,-1.264362,32.00
0.828006,torque-chirp,hip_abduction_right_joint,RS03,-4.541995,0.000000,-7.567905,0.0000,0.0000,-4.541995,15.216602,-1.099567,32.00
0.836006,torque-chirp,hip_abduction_right_joint,RS03,-4.425794,0.000000,-8.043857,0.0000,0.0000,-4.425794,14.221104,-1.603115,32.00
0.844006,torque-chirp,hip_abduction_right_joint,RS03,-4.318030,0.000000,-8.503264,0.0000,0.0000,-4.318030,13.003433,-1.800873,32.00
0.852006,torque-chirp,hip_abduction_right_joint,RS03,-4.218320,0.000000,-8.944712,0.0000,0.0000,-4.218320,11.758907,-1.680019,32.00
0.860007,torque-chirp,hip_abduction_right_joint,RS03,-4.130115,0.000000,-9.366962,0.0000,0.0000,-4.130115,10.630960,-1.886932,32.00
0.868007,torque-chirp,hip_abduction_right_joint,RS03,-4.051114,0.000000,-9.768657,0.0000,0.0000,-4.051114,9.373007,-1.883270,32.00
0.876006,torque-chirp,hip_abduction_right_joint,RS03,-3.983233,0.000000,-10.148476,0.0000,0.0000,-3.983233,8.044250,-1.987640,32.00
0.884006,torque-chirp,hip_abduction_right_joint,RS03,-3.925325,0.000000,-10.505286,0.0000,0.0000,-3.925325,6.832685,-2.284275,32.00
0.892006,torque-chirp,hip_abduction_right_joint,RS03,-3.878922,0.000000,-10.837817,0.0000,0.0000,-3.878922,5.135271,-2.141449,32.00
0.900006,torque-chirp,hip_abduction_right_joint,RS03,-3.844023,0.000000,-11.144900,0.0000,0.0000,-3.844023,3.818111,-2.192719,32.00
0.908006,torque-chirp,hip_abduction_right_joint,RS03,-3.821012,0.000000,-11.425416,0.0000,0.0000,-3.821012,2.298315,-2.668800,32.00
0.916007,torque-chirp,hip_abduction_right_joint,RS03,-3.809892,0.000000,-11.678303,0.0000,0.0000,-3.809892,0.820019,-2.438084,32.00
0.924006,torque-chirp,hip_abduction_right_joint,RS03,-3.811042,0.000000,-11.902474,0.0000,0.0000,-3.811042,-0.757763,-2.595558,32.00
0.932006,torque-chirp,hip_abduction_right_joint,RS03,-3.823697,0.000000,-12.096996,0.0000,0.0000,-3.823697,-2.091402,-3.439690,32.00
0.940006,torque-chirp,hip_abduction_right_joint,RS03,-3.847474,0.000000,-12.260964,0.0000,0.0000,-3.847474,-3.572748,-3.379261,32.00
0.948006,torque-chirp,hip_abduction_right_joint,RS03,-3.882756,0.000000,-12.393549,0.0000,0.0000,-3.882756,-5.015030,-3.490959,32.00
0.956006,torque-chirp,hip_abduction_right_joint,RS03,-3.930310,0.000000,-12.493974,0.0000,0.0000,-3.930310,-6.592813,-3.837032,32.00
0.964006,torque-chirp,hip_abduction_right_joint,RS03,-3.989753,0.000000,-12.561546,0.0000,0.0000,-3.989753,-8.092470,-3.458000,32.00
0.972008,torque-chirp,hip_abduction_right_joint,RS03,-4.061852,0.000000,-12.595663,0.0000,0.0000,-4.061852,-9.571375,-3.489128,32.00
0.980007,torque-chirp,hip_abduction_right_joint,RS03,-4.145838,0.000000,-12.595784,0.0000,0.0000,-4.145838,-11.046617,-4.047607,32.00
0.988007,torque-chirp,hip_abduction_right_joint,RS03,-4.240946,0.000000,-12.561488,0.0000,0.0000,-4.240946,-12.709849,-3.974365,32.00
0.996009,torque-chirp,hip_abduction_right_joint,RS03,-4.349478,0.000000,-12.492406,0.0000,0.0000,-4.349478,-14.207676,-4.172123,32.00
1.004069,torque-chirp,hip_abduction_right_joint,RS03,-4.470663,0.000000,-12.387411,0.0000,0.0000,-4.470663,-15.634699,-3.620964,32.00
1.012014,torque-chirp,hip_abduction_right_joint,RS03,-4.601821,0.000000,-12.249011,0.0000,0.0000,-4.601821,-17.183186,-4.245365,32.00
1.020007,torque-chirp,hip_abduction_right_joint,RS03,-4.747935,0.000000,-12.074727,0.0000,0.0000,-4.747935,-18.735943,-4.355232,32.00
1.028008,torque-chirp,hip_abduction_right_joint,RS03,-4.904787,0.000000,-11.865145,0.0000,0.0000,-4.904787,-20.000000,-1.051956,32.00
1.036010,torque-chirp,hip_abduction_right_joint,RS03,-5.069309,0.000000,-11.620571,0.0000,0.0000,-5.069309,-20.000000,-0.931107,32.00
1.044049,torque-chirp,hip_abduction_right_joint,RS03,-5.237282,0.000000,-11.339939,0.0000,0.0000,-5.237282,-20.000000,-0.863358,32.00
1.052056,torque-chirp,hip_abduction_right_joint,RS03,-5.406023,0.000000,-11.026012,0.0000,0.0000,-5.406023,-20.000000,-1.352257,32.00
1.064053,torque-chirp,hip_abduction_right_joint,RS03,-5.660284,0.000000,-10.492597,0.0000,0.0000,-5.660284,-20.000000,-0.414742,32.00
1.076053,torque-chirp,hip_abduction_right_joint,RS03,-5.915312,0.000000,-9.885362,0.0000,0.0000,-5.915312,-20.000000,0.478828,32.00
1.084027,torque-chirp,hip_abduction_right_joint,RS03,-6.085970,0.000000,-9.442488,0.0000,0.0000,-6.085970,-20.000000,0.041199,32.00
1.092017,torque-chirp,hip_abduction_right_joint,RS03,-6.256628,0.000000,-8.968362,0.0000,0.0000,-6.256628,-20.000000,0.487984,32.00
1.100016,torque-chirp,hip_abduction_right_joint,RS03,-6.427670,0.000000,-8.464238,0.0000,0.0000,-6.427670,-20.000000,-0.716869,32.00
1.112011,torque-chirp,hip_abduction_right_joint,RS03,-6.683848,0.000000,-7.656053,0.0000,0.0000,-6.683848,-20.000000,0.482491,32.00
1.124007,torque-chirp,hip_abduction_right_joint,RS03,-6.940027,0.000000,-6.789067,0.0000,0.0000,-6.940027,-20.000000,-0.491646,32.00
1.132001,torque-chirp,hip_abduction_right_joint,RS03,-7.111069,0.000000,-6.181261,0.0000,0.0000,-7.111069,-20.000000,-0.691235,32.00
1.140001,torque-chirp,hip_abduction_right_joint,RS03,-7.282494,0.000000,-5.550986,0.0000,0.0000,-7.282494,-20.000000,0.293892,32.00
1.148010,torque-chirp,hip_abduction_right_joint,RS03,-7.454685,0.000000,-4.899614,0.0000,0.0000,-7.454685,-20.000000,0.112610,32.00
1.156007,torque-chirp,hip_abduction_right_joint,RS03,-7.626111,0.000000,-4.230801,0.0000,0.0000,-7.626111,-20.000000,0.442207,32.00
