t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000000,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,0.117495,-0.000916,31.00
0.008036,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.016174,-0.024719,31.00
0.016021,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,-0.005188,-0.000916,31.00
0.024018,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,0.126650,0.015564,31.00
0.032017,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.004578,0.041199,31.00
0.040014,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,-0.044863,-0.032043,31.00
0.048014,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,-0.063784,0.052185,31.00
0.056014,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.071718,0.026550,31.00
0.064015,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.068054,0.050354,31.00
0.072015,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.022888,0.010071,31.00
0.080013,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,0.074768,0.010071,31.00
0.088013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.086367,0.002747,31.00
0.096015,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.014343,0.033875,31.00
0.104015,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.052795,0.054016,31.00
0.112016,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.025330,0.032043,31.00
0.120014,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.024109,0.011902,31.00
0.128016,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.002136,0.008240,31.00
0.136013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.080873,0.011902,31.00
0.144013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.093691,0.021057,31.00
0.152013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.033875,-0.041199,31.00
0.160014,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.060730,0.011902,31.00
0.168012,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.080873,-0.017395,31.00
0.176014,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.054628,0.008240,31.00
0.184014,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,0.171816,-0.004578,31.00
0.192014,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.071718,-0.039368,31.00
0.200012,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.051575,-0.022888,31.00
0.208015,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.162050,0.008240,31.00
0.216016,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.010071,-0.037537,31.00
0.224019,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.068665,-0.026550,31.00
0.232013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.151064,0.043030,31.00
0.240014,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,-0.002136,-0.021057,31.00
0.248011,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.077822,0.024719,31.00
0.256014,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,0.000000,0.0000,0.0000,6.565347,0.036316,-0.026550,31.00
0.264013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.017395,-0.030212,31.00
0.272012,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,-0.008850,-0.026550,31.00
0.280013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.060120,0.032043,31.00
0.288013,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.028381,-0.033875,31.00
0.296012,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,0.000000,0.0000,0.0000,6.564963,0.018005,0.054016,31.00
0.304014,torque-step,hip_abduction_right_joint,RS03,6.564963,0.000000,12.600000,0.0000,0.0000,6.564963,-0.135805,-0.070496,31.00
0.312014,torque-step,hip_abduction_right_joint,RS03,6.565347,0.000000,12.600000,0.0000,0.0000,6.565347,0.091860,0.000916,31.00
0.320059,torque-step,hip_abduction_right_joint,RS03,6.570716,0.000000,12.600000,0.0000,0.0000,6.570716,1.276569,3.165028,31.00
0.328045,torque-step,hip_abduction_right_joint,RS03,6.588357,0.000000,12.600000,0.0000,0.0000,6.588357,2.759136,3.727169,31.00
0.336036,torque-step,hip_abduction_right_joint,RS03,6.618268,0.000000,12.600000,0.0000,0.0000,6.618268,4.325323,3.707027,31.00
0.344020,torque-step,hip_abduction_right_joint,RS03,6.660071,0.000000,12.600000,0.0000,0.0000,6.660071,5.922638,3.805904,31.00
0.352016,torque-step,hip_abduction_right_joint,RS03,6.714145,0.000000,12.600000,0.0000,0.0000,6.714145,7.381399,3.600826,31.00
0.360015,torque-step,hip_abduction_right_joint,RS03,6.780873,0.000000,12.600000,0.0000,0.0000,6.780873,9.026932,3.573360,31.00
0.368015,torque-step,hip_abduction_right_joint,RS03,6.859492,0.000000,12.600000,0.0000,0.0000,6.859492,10.431984,3.738155,31.00
0.376015,torque-step,hip_abduction_right_joint,RS03,6.950765,0.000000,12.600000,0.0000,0.0000,6.950765,12.112309,3.811398,31.00
