t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,friction-sweep,hip_flexion_right_joint,RS04,-7.275590,0.000000,0.000000,0.0000,2.0000,-7.275590,-0.000687,-0.001831,32.00
0.008054,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.055161,-0.023804,32.00
0.016025,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.084916,-0.020142,32.00
0.024014,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.007553,-0.049438,32.00
0.032014,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.025406,-0.016479,32.00
0.040014,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.018997,0.005493,32.00
0.048057,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.005722,-0.016479,32.00
0.056016,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.083085,0.020142,32.00
0.064016,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.019913,-0.023804,32.00
0.072015,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.079881,-0.016479,32.00
0.080011,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.013046,0.020142,32.00
0.088016,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.029527,-0.023804,32.00
0.096011,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.047836,-0.001831,32.00
0.104010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.033647,0.038452,32.00
0.112014,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.027695,-0.034790,32.00
0.120012,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.068895,-0.005493,32.00
0.128009,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.046921,0.012817,32.00
0.136012,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.006180,0.001831,32.00
0.144015,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.011673,0.001831,32.00
0.152011,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.012131,-0.031128,32.00
0.160013,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.024490,-0.067749,32.00
0.168010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.008926,0.005493,32.00
0.176010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.010300,0.005493,32.00
0.184060,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.002975,-0.031128,32.00
0.192033,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.046006,-0.001831,32.00
0.200028,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.006638,0.016479,32.00
0.208027,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.027237,-0.023804,32.00
0.216020,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.017166,0.023804,32.00
0.224014,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.025406,-0.001831,32.00
0.232013,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.016708,-0.031128,32.00
0.240011,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.011215,-0.001831,32.00
0.248010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.034104,-0.056763,32.00
0.256012,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.024033,0.064087,32.00
0.264010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.030441,-0.005493,32.00
0.272009,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.044174,0.001831,32.00
0.280011,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.008011,0.016479,32.00
0.288010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.006180,0.027466,32.00
0.296010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.014420,0.023804,32.00
0.304011,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.022202,-0.023804,32.00
0.312008,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.007553,-0.012817,32.00
0.320012,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.014420,0.023804,32.00
0.328014,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.027237,-0.031128,32.00
0.336009,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,0.008926,0.023804,32.00
0.344009,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.047837,-0.020142,32.00
0.352011,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.008469,-0.023804,32.00
0.360009,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,0.000000,0.000000,0.0000,2.0000,-7.274440,-0.038224,0.001831,32.00
0.368009,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,-0.020828,-0.053101,32.00
0.376013,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.077593,-0.034790,32.00
0.384009,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.009842,-0.027466,32.00
0.392009,friction-sweep,hip_flexion_right_joint,RS04,-7.274056,0.000000,0.000000,0.0000,2.0000,-7.274056,0.035934,0.009155,32.00
0.400012,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,1.500000,0.000000,0.0000,2.0000,-7.274440,0.026321,-0.016479,32.00
0.408010,friction-sweep,hip_flexion_right_joint,RS04,-7.274440,1.500000,0.000000,0.0000,2.0000,-7.274440,0.029984,0.045776,32.00
0.416009,friction-sweep,hip_flexion_right_joint,RS04,-7.273673,1.500000,0.000000,0.0000,2.0000,-7.273673,0.150835,1.085831,32.00
0.424017,friction-sweep,hip_flexion_right_joint,RS04,-7.271755,1.500000,0.000000,0.0000,2.0000,-7.271755,0.320211,1.382462,32.00
0.432012,friction-sweep,hip_flexion_right_joint,RS04,-7.268304,1.500000,0.000000,0.0000,2.0000,-7.268304,0.463036,1.602203,32.00
0.440013,friction-sweep,hip_flexion_right_joint,RS04,-7.264469,1.500000,0.000000,0.0000,2.0000,-7.264469,0.483177,1.961090,32.00
0.448013,friction-sweep,hip_flexion_right_joint,RS04,-7.259867,1.500000,0.000000,0.0000,2.0000,-7.259867,0.623254,1.737701,32.00
0.456012,friction-sweep,hip_flexion_right_joint,RS04,-7.254881,1.500000,0.000000,0.0000,2.0000,-7.254881,0.680018,0.774551,32.00
0.464011,friction-sweep,hip_flexion_right_joint,RS04,-7.248745,1.500000,0.000000,0.0000,2.0000,-7.248745,0.848935,0.082397,32.00
0.472013,friction-sweep,hip_flexion_right_joint,RS04,-7.241842,1.500000,0.000000,0.0000,2.0000,-7.241842,1.026093,0.485245,32.00
0.480010,friction-sweep,hip_flexion_right_joint,RS04,-7.233405,1.500000,0.000000,0.0000,2.0000,-7.233405,1.043488,1.664459,32.00
0.488010,friction-sweep,hip_flexion_right_joint,RS04,-7.224968,1.500000,0.000000,0.0000,2.0000,-7.224968,1.050812,1.093155,32.00
0.496012,friction-sweep,hip_flexion_right_joint,RS04,-7.216531,1.500000,0.000000,0.0000,2.0000,-7.216531,1.132753,-0.239876,32.00
0.504143,friction-sweep,hip_flexion_right_joint,RS04,-7.207327,1.500000,0.000000,0.0000,2.0000,-7.207327,1.162050,0.466919,32.00
0.512016,friction-sweep,hip_flexion_right_joint,RS04,-7.197740,1.500000,0.000000,0.0000,2.0000,-7.197740,1.235294,1.638824,32.00
0.520013,friction-sweep,hip_flexion_right_joint,RS04,-7.188536,1.500000,0.000000,0.0000,2.0000,-7.188536,1.095215,0.455933,32.00
0.528011,friction-sweep,hip_flexion_right_joint,RS04,-7.179332,1.500000,0.000000,0.0000,2.0000,-7.179332,1.221560,-0.455940,32.00
0.536011,friction-sweep,hip_flexion_right_joint,RS04,-7.169361,1.500000,0.000000,0.0000,2.0000,-7.169361,1.319065,1.206680,32.00
0.544014,friction-sweep,hip_flexion_right_joint,RS04,-7.159389,1.500000,0.000000,0.0000,2.0000,-7.159389,1.236210,0.964981,32.00
0.552012,friction-sweep,hip_flexion_right_joint,RS04,-7.150186,1.500000,0.000000,0.0000,2.0000,-7.150186,1.162966,-0.210571,32.00
0.560011,friction-sweep,hip_flexion_right_joint,RS04,-7.140214,1.500000,0.000000,0.0000,2.0000,-7.140214,1.299381,0.455933,32.00
0.568012,friction-sweep,hip_flexion_right_joint,RS04,-7.130244,1.500000,0.000000,0.0000,2.0000,-7.130244,1.246738,1.496002,32.00
0.576059,friction-sweep,hip_flexion_right_joint,RS04,-7.120656,1.500000,0.000000,0.0000,2.0000,-7.120656,1.186312,0.184937,32.00
