t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,noload-speed,hip_flexion_right_joint,RS04,-10.164887,0.000000,0.000008,0.0000,0.0000,-10.164887,0.008926,-0.001831,31.00
0.008032,noload-speed,hip_flexion_right_joint,RS04,-10.164504,0.000000,0.096384,0.0000,0.0000,-10.164504,0.004807,0.009155,31.00
0.016022,noload-speed,hip_flexion_right_joint,RS04,-10.164504,0.000000,0.192268,0.0000,0.0000,-10.164504,-0.002975,0.012817,31.00
0.024014,noload-speed,hip_flexion_right_joint,RS04,-10.164504,0.000000,0.288165,0.0000,0.0000,-10.164504,0.053787,0.038452,31.00
0.032062,noload-speed,hip_flexion_right_joint,RS04,-10.164120,0.000000,0.384739,0.0000,0.0000,-10.164120,0.040970,0.108032,31.00
0.040051,noload-speed,hip_flexion_right_joint,RS04,-10.164504,0.000000,0.480618,0.0000,0.0000,-10.164504,-0.046464,0.188599,31.00
0.048031,noload-speed,hip_flexion_right_joint,RS04,-10.164120,0.000000,0.576372,0.0000,0.0000,-10.164120,0.042343,0.254517,31.00
0.056020,noload-speed,hip_flexion_right_joint,RS04,-10.164120,0.000000,0.672243,0.0000,0.0000,-10.164120,-0.045091,0.335083,31.00
0.064015,noload-speed,hip_flexion_right_joint,RS04,-10.163736,0.000000,0.768174,0.0000,0.0000,-10.163736,-0.018539,0.455933,31.00
0.072014,noload-speed,hip_flexion_right_joint,RS04,-10.163736,0.000000,0.864170,0.0000,0.0000,-10.163736,0.073015,0.525528,31.00
0.080015,noload-speed,hip_flexion_right_joint,RS04,-10.163353,0.000000,0.960185,0.0000,0.0000,-10.163353,0.028610,0.719620,31.00
0.088015,noload-speed,hip_flexion_right_joint,RS04,-10.162970,0.000000,1.056174,0.0000,0.0000,-10.162970,0.038681,0.822159,31.00
0.096064,noload-speed,hip_flexion_right_joint,RS04,-10.162586,0.000000,1.152769,0.0000,0.0000,-10.162586,0.048294,0.921036,31.00
0.104043,noload-speed,hip_flexion_right_joint,RS04,-10.161819,0.000000,1.248521,0.0000,0.0000,-10.161819,0.141222,1.016251,31.00
0.112026,noload-speed,hip_flexion_right_joint,RS04,-10.161053,0.000000,1.344316,0.0000,0.0000,-10.161053,0.082628,1.089493,31.00
0.120017,noload-speed,hip_flexion_right_joint,RS04,-10.159902,0.000000,1.440204,0.0000,0.0000,-10.159902,0.200733,1.137100,31.00
0.128016,noload-speed,hip_flexion_right_joint,RS04,-10.158368,0.000000,1.536196,0.0000,0.0000,-10.158368,0.146715,1.279922,31.00
0.136014,noload-speed,hip_flexion_right_joint,RS04,-10.157600,0.000000,1.632170,0.0000,0.0000,-10.157600,0.107805,1.404434,31.00
0.144013,noload-speed,hip_flexion_right_joint,RS04,-10.156834,0.000000,1.728160,0.0000,0.0000,-10.156834,0.006638,1.624176,31.00
0.152034,noload-speed,hip_flexion_right_joint,RS04,-10.156450,0.000000,1.824412,0.0000,0.0000,-10.156450,0.094530,1.748688,31.00
0.160013,noload-speed,hip_flexion_right_joint,RS04,-10.156450,0.000000,1.920157,0.0000,0.0000,-10.156450,0.062944,1.785309,31.00
0.168013,noload-speed,hip_flexion_right_joint,RS04,-10.156067,0.000000,2.016155,0.0000,0.0000,-10.156067,-0.005722,1.869537,31.00
0.176014,noload-speed,hip_flexion_right_joint,RS04,-10.155684,0.000000,2.112170,0.0000,0.0000,-10.155684,0.041428,1.851227,31.00
0.184013,noload-speed,hip_flexion_right_joint,RS04,-10.154917,0.000000,2.208151,0.0000,0.0000,-10.154917,0.146715,1.869537,31.00
0.192013,noload-speed,hip_flexion_right_joint,RS04,-10.154149,0.000000,2.304156,0.0000,0.0000,-10.154149,0.170061,1.737701,31.00
