t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,stall-torque,hip_flexion_right_joint,RS04,0.148991,0.000000,0.000007,0.0000,0.0000,0.148991,0.014877,0.049438,30.00
0.008045,stall-torque,hip_flexion_right_joint,RS04,0.144004,0.000000,0.096538,0.0000,0.0000,0.144004,-0.138018,0.093384,30.00
0.016019,stall-torque,hip_flexion_right_joint,RS04,0.142470,0.000000,0.192226,0.0000,0.0000,0.142470,-0.211720,0.038452,30.00
0.024013,stall-torque,hip_flexion_right_joint,RS04,0.140936,0.000000,0.288152,0.0000,0.0000,0.140936,-0.162738,-0.192261,30.00
0.032007,stall-torque,hip_flexion_right_joint,RS04,0.139786,0.000000,0.384090,0.0000,0.0000,0.139786,-0.117876,-0.232544,30.00
0.040007,stall-torque,hip_flexion_right_joint,RS04,0.139402,0.000000,0.480079,0.0000,0.0000,0.139402,-0.013504,-0.126343,30.00
0.048006,stall-torque,hip_flexion_right_joint,RS04,0.139402,0.000000,0.576067,0.0000,0.0000,0.139402,0.064318,-0.045776,30.00
0.056005,stall-torque,hip_flexion_right_joint,RS04,0.139786,0.000000,0.672065,0.0000,0.0000,0.139786,0.066607,0.188599,30.00
0.064005,stall-torque,hip_flexion_right_joint,RS04,0.140553,0.000000,0.768066,0.0000,0.0000,0.140553,0.130693,0.375366,30.00
0.072005,stall-torque,hip_flexion_right_joint,RS04,0.141319,0.000000,0.864061,0.0000,0.0000,0.141319,0.094530,0.492569,30.00
0.080006,stall-torque,hip_flexion_right_joint,RS04,0.142470,0.000000,0.960069,0.0000,0.0000,0.142470,0.127947,0.767227,30.00
0.088005,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.056060,0.0000,0.0000,0.143237,0.022659,0.946671,30.00
0.096007,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.152086,0.0000,0.0000,0.143237,-0.003433,1.008926,30.00
0.104006,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.248066,0.0000,0.0000,0.143237,0.035934,1.041885,30.00
0.112004,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.344051,0.0000,0.0000,0.143237,0.031815,1.096817,30.00
0.120006,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.440067,0.0000,0.0000,0.143237,-0.000229,1.122452,30.00
0.128006,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.536070,0.0000,0.0000,0.143237,0.022202,1.232315,30.00
0.136008,stall-torque,hip_flexion_right_joint,RS04,0.143237,0.000000,1.632100,0.0000,0.0000,0.143237,0.018997,1.250626,30.00
0.144008,stall-torque,hip_flexion_right_joint,RS04,0.143620,0.000000,1.728101,0.0000,0.0000,0.143620,0.034103,1.327530,30.00
0.152005,stall-torque,hip_flexion_right_joint,RS04,0.143620,0.000000,1.824063,0.0000,0.0000,0.143620,-0.021744,1.411774,30.00
0.160006,stall-torque,hip_flexion_right_joint,RS04,0.144387,0.000000,1.920072,0.0000,0.0000,0.144387,0.058365,1.496002,30.00
0.168007,stall-torque,hip_flexion_right_joint,RS04,0.145154,0.000000,2.016084,0.0000,0.0000,0.145154,0.089952,1.605865,30.00
0.176035,stall-torque,hip_flexion_right_joint,RS04,0.146688,0.000000,2.112417,0.0000,0.0000,0.146688,0.214924,1.587555,30.00
0.184068,stall-torque,hip_flexion_right_joint,RS04,0.148607,0.000000,2.208818,0.0000,0.0000,0.148607,0.258869,1.635162,30.00
0.192076,stall-torque,hip_flexion_right_joint,RS04,0.151292,0.000000,2.304916,0.0000,0.0000,0.151292,0.348593,1.521637,30.00
0.200034,stall-torque,hip_flexion_right_joint,RS04,0.154360,0.000000,2.400405,0.0000,0.0000,0.154360,0.409475,1.203018,30.00
0.208013,stall-torque,hip_flexion_right_joint,RS04,0.158578,0.000000,2.496153,0.0000,0.0000,0.158578,0.531701,0.979630,30.00
0.216015,stall-torque,hip_flexion_right_joint,RS04,0.163947,0.000000,2.592177,0.0000,0.0000,0.163947,0.761500,0.635391,30.00
0.224012,stall-torque,hip_flexion_right_joint,RS04,0.171618,0.000000,2.688140,0.0000,0.0000,0.171618,1.009613,1.268936,30.00
0.232015,stall-torque,hip_flexion_right_joint,RS04,0.181205,0.000000,2.784183,0.0000,0.0000,0.181205,1.199129,2.195465,30.00
0.240007,stall-torque,hip_flexion_right_joint,RS04,0.191559,0.000000,2.880087,0.0000,0.0000,0.191559,1.360723,1.162735,30.00
0.248008,stall-torque,hip_flexion_right_joint,RS04,0.204214,0.000000,2.976090,0.0000,0.0000,0.204214,1.674753,1.268936,30.00
0.256029,stall-torque,hip_flexion_right_joint,RS04,0.218404,0.000000,3.072344,0.0000,0.0000,0.218404,1.886244,1.799957,30.00
0.264254,stall-torque,hip_flexion_right_joint,RS04,0.234510,0.000000,3.171051,0.0000,0.0000,0.234510,2.045090,1.093155,30.00
0.272033,stall-torque,hip_flexion_right_joint,RS04,0.252152,0.000000,3.264394,0.0000,0.0000,0.252152,2.322500,1.810944,30.00
0.280018,stall-torque,hip_flexion_right_joint,RS04,0.272095,0.000000,3.360219,0.0000,0.0000,0.272095,2.601282,1.660797,30.00
0.288010,stall-torque,hip_flexion_right_joint,RS04,0.294337,0.000000,3.456125,0.0000,0.0000,0.294337,2.852139,1.389786,30.00
0.296064,stall-torque,hip_flexion_right_joint,RS04,0.318881,0.000000,3.552764,0.0000,0.0000,0.318881,3.097046,2.096588,30.00
0.304040,stall-torque,hip_flexion_right_joint,RS04,0.345344,0.000000,3.648483,0.0000,0.0000,0.345344,3.509499,2.378586,30.00
0.312038,stall-torque,hip_flexion_right_joint,RS04,0.374489,0.000000,3.744460,0.0000,0.0000,0.374489,3.749371,2.261383,30.00
0.320060,stall-torque,hip_flexion_right_joint,RS04,0.406320,0.000000,3.840721,0.0000,0.0000,0.406320,4.071184,2.103912,30.00
0.328022,stall-torque,hip_flexion_right_joint,RS04,0.440066,0.000000,3.936260,0.0000,0.0000,0.440066,4.362783,2.235748,30.00
0.336015,stall-torque,hip_flexion_right_joint,RS04,0.476501,0.000000,4.032174,0.0000,0.0000,0.476501,4.675442,2.437180,30.00
0.344010,stall-torque,hip_flexion_right_joint,RS04,0.516001,0.000000,4.128121,0.0000,0.0000,0.516001,5.026093,2.448166,30.00
0.352006,stall-torque,hip_flexion_right_joint,RS04,0.558187,0.000000,4.224077,0.0000,0.0000,0.558187,5.377203,1.818268,30.00
0.360004,stall-torque,hip_flexion_right_joint,RS04,0.602672,0.000000,4.320042,0.0000,0.0000,0.602672,5.703136,2.162506,30.00
0.368006,stall-torque,hip_flexion_right_joint,RS04,0.650227,0.000000,4.416074,0.0000,0.0000,0.650227,6.122454,2.609299,30.00
0.376003,stall-torque,hip_flexion_right_joint,RS04,0.700848,0.000000,4.512041,0.0000,0.0000,0.700848,6.424583,2.162506,30.00
0.384004,stall-torque,hip_flexion_right_joint,RS04,0.754539,0.000000,4.608043,0.0000,0.0000,0.754539,6.804989,2.272369,30.00
0.392037,stall-torque,hip_flexion_right_joint,RS04,0.810912,0.000000,4.704441,0.0000,0.0000,0.810912,7.267338,2.964523,30.00
0.400018,stall-torque,hip_flexion_right_joint,RS04,0.871123,0.000000,4.800211,0.0000,0.0000,0.871123,7.646372,2.737473,30.00
0.408011,stall-torque,hip_flexion_right_joint,RS04,0.934402,0.000000,4.896132,0.0000,0.0000,0.934402,8.040514,2.561691,30.00
0.416006,stall-torque,hip_flexion_right_joint,RS04,1.000746,0.000000,4.992069,0.0000,0.0000,1.000746,8.416801,2.352951,30.00
0.424003,stall-torque,hip_flexion_right_joint,RS04,1.070543,0.000000,5.088042,0.0000,0.0000,1.070543,8.909361,2.850998,30.00
0.432003,stall-torque,hip_flexion_right_joint,RS04,1.143792,0.000000,5.184033,0.0000,0.0000,1.143792,9.254520,3.283142,30.00
0.440004,stall-torque,hip_flexion_right_joint,RS04,1.220875,0.000000,5.280052,0.0000,0.0000,1.220875,9.754864,2.653244,30.00
0.448003,stall-torque,hip_flexion_right_joint,RS04,1.301794,0.000000,5.376038,0.0000,0.0000,1.301794,10.222706,2.810715,30.00
0.456002,stall-torque,hip_flexion_right_joint,RS04,1.386165,0.000000,5.472019,0.0000,0.0000,1.386165,10.680017,2.858322,30.00
0.464002,stall-torque,hip_flexion_right_joint,RS04,1.473987,0.000000,5.568026,0.0000,0.0000,1.473987,11.202793,3.601746,30.00
0.472003,stall-torque,hip_flexion_right_joint,RS04,1.566027,0.000000,5.664034,0.0000,0.0000,1.566027,11.651865,2.741135,30.00
0.480002,stall-torque,hip_flexion_right_joint,RS04,1.661901,0.000000,5.760028,0.0000,0.0000,1.661901,12.111010,2.506760,30.00
0.488005,stall-torque,hip_flexion_right_joint,RS04,1.761612,0.000000,5.856056,0.0000,0.0000,1.761612,12.631952,2.638596,30.00
0.496004,stall-torque,hip_flexion_right_joint,RS04,1.865541,0.000000,5.952046,0.0000,0.0000,1.865541,13.201878,2.829025,30.00
0.504004,stall-torque,hip_flexion_right_joint,RS04,1.973688,0.000000,6.048044,0.0000,0.0000,1.973688,13.743420,3.755554,30.00
0.512003,stall-torque,hip_flexion_right_joint,RS04,2.086054,0.000000,6.144032,0.0000,0.0000,2.086054,14.235979,3.056076,30.00
0.520148,stall-torque,hip_flexion_right_joint,RS04,2.202638,0.000000,6.241781,0.0000,0.0000,2.202638,14.777065,3.557800,30.00
0.528010,stall-torque,hip_flexion_right_joint,RS04,2.323442,0.000000,6.336124,0.0000,0.0000,2.323442,15.000000,3.103683,30.00
0.536007,stall-torque,hip_flexion_right_joint,RS04,2.449229,0.000000,6.432085,0.0000,0.0000,2.449229,15.000000,3.649353,30.00
0.544005,stall-torque,hip_flexion_right_joint,RS04,2.578853,0.000000,6.528066,0.0000,0.0000,2.578853,15.000000,4.260933,30.00
0.552005,stall-torque,hip_flexion_right_joint,RS04,2.713846,0.000000,6.624056,0.0000,0.0000,2.713846,15.000000,4.140076,30.00
0.560003,stall-torque,hip_flexion_right_joint,RS04,2.853056,0.000000,6.720040,0.0000,0.0000,2.853056,15.000000,3.550476,30.00
