t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,hip_flexion_right_joint,RS04,3.515746,0.000000,0.000043,0.0000,0.0000,3.515746,-0.013046,-0.001831,32.00
0.008057,torque-chirp,hip_flexion_right_joint,RS04,3.517663,0.000000,0.640578,0.0000,0.0000,3.517663,0.087664,-0.100708,32.00
0.016027,torque-chirp,hip_flexion_right_joint,RS04,3.518432,0.000000,1.279450,0.0000,0.0000,3.518432,0.055161,-0.199585,31.00
0.024050,torque-chirp,hip_flexion_right_joint,RS04,3.519198,0.000000,1.927301,0.0000,0.0000,3.519198,0.152666,-0.097046,32.00
0.032026,torque-chirp,hip_flexion_right_joint,RS04,3.521882,0.000000,2.575616,0.0000,0.0000,3.521882,0.424583,0.093384,32.00
0.040022,torque-chirp,hip_flexion_right_joint,RS04,3.525718,0.000000,3.229313,0.0000,0.0000,3.525718,0.508354,0.518204,32.00
0.048021,torque-chirp,hip_flexion_right_joint,RS04,3.531087,0.000000,3.886580,0.0000,0.0000,3.531087,0.644771,1.422760,32.00
0.056015,torque-chirp,hip_flexion_right_joint,RS04,3.537990,0.000000,4.546221,0.0000,0.0000,3.537990,0.834744,2.261383,32.00
0.064015,torque-chirp,hip_flexion_right_joint,RS04,3.546042,0.000000,5.208537,0.0000,0.0000,3.546042,1.087891,1.741364,32.00
0.072015,torque-chirp,hip_flexion_right_joint,RS04,3.556397,0.000000,5.872646,0.0000,0.0000,3.556397,1.484322,1.774323,32.00
0.080013,torque-chirp,hip_flexion_right_joint,RS04,3.571353,0.000000,6.537555,0.0000,0.0000,3.571353,1.995193,3.118332,32.00
0.088013,torque-chirp,hip_flexion_right_joint,RS04,3.589379,0.000000,7.203196,0.0000,0.0000,3.589379,2.514763,2.418869,31.00
0.096013,torque-chirp,hip_flexion_right_joint,RS04,3.612773,0.000000,7.868702,0.0000,0.0000,3.612773,3.089722,3.045090,32.00
0.104011,torque-chirp,hip_flexion_right_joint,RS04,3.640767,0.000000,8.533282,0.0000,0.0000,3.640767,3.771343,3.737244,31.00
0.112012,torque-chirp,hip_flexion_right_joint,RS04,3.674899,0.000000,9.196633,0.0000,0.0000,3.674899,4.574732,3.945984,31.00
0.120012,torque-chirp,hip_flexion_right_joint,RS04,3.715934,0.000000,9.857810,0.0000,0.0000,3.715934,5.401007,3.674988,31.00
0.128013,torque-chirp,hip_flexion_right_joint,RS04,3.763104,0.000000,10.516108,0.0000,0.0000,3.763104,6.227741,4.942085,32.00
0.136014,torque-chirp,hip_flexion_right_joint,RS04,3.817945,0.000000,11.170886,0.0000,0.0000,3.817945,7.152895,4.301216,32.00
0.144013,torque-chirp,hip_flexion_right_joint,RS04,3.880839,0.000000,11.821177,0.0000,0.0000,3.880839,8.217213,4.821236,32.00
0.152010,torque-chirp,hip_flexion_right_joint,RS04,3.952937,0.000000,12.466209,0.0000,0.0000,3.952937,9.333258,5.081245,31.00
0.160012,torque-chirp,hip_flexion_right_joint,RS04,4.033473,0.000000,13.105793,0.0000,0.0000,4.033473,10.570152,6.494850,32.00
0.168013,torque-chirp,hip_flexion_right_joint,RS04,4.123979,0.000000,13.738528,0.0000,0.0000,4.123979,11.756237,5.674522,32.00
0.176013,torque-chirp,hip_flexion_right_joint,RS04,4.224456,0.000000,14.363724,0.0000,0.0000,4.224456,12.967499,6.022423,32.00
0.184012,torque-chirp,hip_flexion_right_joint,RS04,4.335288,0.000000,14.980471,0.0000,0.0000,4.335288,14.385672,7.388420,31.00
0.192013,torque-chirp,hip_flexion_right_joint,RS04,4.457623,0.000000,15.588171,0.0000,0.0000,4.457623,15.000000,7.106438,31.00
0.200012,torque-chirp,hip_flexion_right_joint,RS04,4.591466,0.000000,16.185686,0.0000,0.0000,4.591466,15.000000,7.483635,31.00
0.208014,torque-chirp,hip_flexion_right_joint,RS04,4.737964,0.000000,16.772396,0.0000,0.0000,4.737964,15.000000,12.932938,32.00
0.216012,torque-chirp,hip_flexion_right_joint,RS04,4.897500,0.000000,17.347057,0.0000,0.0000,4.897500,15.000000,6.113991,32.00
0.224013,torque-chirp,hip_flexion_right_joint,RS04,5.070077,0.000000,17.909185,0.0000,0.0000,5.070077,15.000000,3.352722,31.00
0.232013,torque-chirp,hip_flexion_right_joint,RS04,5.249169,0.000000,18.457563,0.0000,0.0000,5.249169,15.000000,2.016022,32.00
0.240012,torque-chirp,hip_flexion_right_joint,RS04,5.432099,0.000000,18.991297,0.0000,0.0000,5.432099,15.000000,2.034332,32.00
0.248012,torque-chirp,hip_flexion_right_joint,RS04,5.616565,0.000000,19.509590,0.0000,0.0000,5.616565,15.000000,1.430084,32.00
0.256014,torque-chirp,hip_flexion_right_joint,RS04,5.801795,0.000000,20.011599,0.0000,0.0000,5.801795,15.000000,0.983292,32.00
0.268013,torque-chirp,hip_flexion_right_joint,RS04,6.079066,0.000000,20.731447,0.0000,0.0000,6.079066,15.000000,0.822159,31.00
