t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-step,hip_flexion_right_joint,RS04,4.400867,0.000000,0.000000,0.0000,0.0000,4.400867,-0.025406,-0.001831,31.00
0.008033,torque-step,hip_flexion_right_joint,RS04,4.393964,0.000000,0.000000,0.0000,0.0000,4.393964,-0.141222,-0.254524,31.00
0.016016,torque-step,hip_flexion_right_joint,RS04,4.393197,0.000000,0.000000,0.0000,0.0000,4.393197,-0.010300,-0.455940,31.00
0.024008,torque-step,hip_flexion_right_joint,RS04,4.393197,0.000000,0.000000,0.0000,0.0000,4.393197,0.016708,-0.419319,31.00
0.032007,torque-step,hip_flexion_right_joint,RS04,4.393580,0.000000,0.000000,0.0000,0.0000,4.393580,0.040970,-0.247200,31.00
0.040007,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.073473,-0.097046,31.00
0.048005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.022202,0.038452,31.00
0.056003,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.051498,0.119019,31.00
0.064006,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.042802,0.056763,31.00
0.072005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.015793,0.016479,31.00
0.080005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.023117,0.016479,31.00
0.088007,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.026779,-0.001831,31.00
0.096005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.012131,0.009155,31.00
0.104005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.013504,0.005493,31.00
0.112008,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.027695,0.023804,31.00
0.120004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.051956,0.009155,31.00
0.128006,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.040054,0.023804,31.00
0.136005,torque-step,hip_flexion_right_joint,RS04,4.393964,0.000000,0.000000,0.0000,0.0000,4.393964,-0.023575,0.038452,31.00
0.144007,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.022659,0.031128,31.00
0.152004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.032272,-0.020142,31.00
0.160009,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.018539,0.001831,31.00
0.168007,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.044174,-0.023804,31.00
0.176004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.001144,-0.020142,31.00
0.184004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.028152,-0.034790,31.00
0.192004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.022659,-0.020142,31.00
0.200003,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.034562,0.012817,31.00
0.208004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.077135,0.001831,31.00
0.216005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.051499,-0.023804,31.00
0.224003,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.019913,-0.005493,31.00
0.232006,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.030442,-0.009155,31.00
0.240005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.017166,0.012817,31.00
0.248003,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.017624,0.020142,31.00
0.256005,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.014420,0.001831,31.00
0.264004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.065691,-0.005493,31.00
0.272003,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,-0.022659,0.005493,31.00
0.280004,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.014877,0.001831,31.00
0.288003,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,0.000000,0.0000,0.0000,4.394347,0.000687,0.005493,31.00
0.296001,torque-step,hip_flexion_right_joint,RS04,4.393964,0.000000,0.000000,0.0000,0.0000,4.393964,-0.010300,-0.023804,31.00
0.304006,torque-step,hip_flexion_right_joint,RS04,4.394347,0.000000,25.200001,0.0000,0.0000,4.394347,-0.040513,0.012817,31.00
