t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000000,torque-chirp,knee_flexion_left_joint,RS04,0.065388,0.000000,0.000071,0.0000,0.0000,0.065388,0.008011,-0.001831,30.00
0.008035,torque-chirp,knee_flexion_left_joint,RS04,0.065388,0.000000,1.268472,0.0000,0.0000,0.065388,0.019455,0.020142,30.00
0.016023,torque-chirp,knee_flexion_left_joint,RS04,0.065388,0.000000,2.502601,0.0000,0.0000,0.065388,0.049210,0.023804,30.00
0.024019,torque-chirp,knee_flexion_left_joint,RS04,0.065388,0.000000,3.683038,0.0000,0.0000,0.065388,0.014420,0.499893,30.00
0.032020,torque-chirp,knee_flexion_left_joint,RS04,0.066538,0.000000,4.781537,0.0000,0.0000,0.066538,0.161364,1.005264,30.00
0.040018,torque-chirp,knee_flexion_left_joint,RS04,0.068456,0.000000,5.771545,0.0000,0.0000,0.068456,0.257496,1.488678,30.00
0.048021,torque-chirp,knee_flexion_left_joint,RS04,0.071907,0.000000,6.630323,0.0000,0.0000,0.071907,0.585717,2.411545,30.00
0.056020,torque-chirp,knee_flexion_left_joint,RS04,0.078426,0.000000,7.336440,0.0000,0.0000,0.078426,0.986266,3.001144,30.00
0.064022,torque-chirp,knee_flexion_left_joint,RS04,0.088780,0.000000,7.873404,0.0000,0.0000,0.088780,1.529182,3.806824,30.00
0.072019,torque-chirp,knee_flexion_left_joint,RS04,0.102970,0.000000,8.227382,0.0000,0.0000,0.102970,1.987411,4.400093,30.00
0.080021,torque-chirp,knee_flexion_left_joint,RS04,0.122145,0.000000,8.389561,0.0000,0.0000,0.122145,2.627832,4.564888,30.00
0.088020,torque-chirp,knee_flexion_left_joint,RS04,0.146305,0.000000,8.355003,0.0000,0.0000,0.146305,3.171663,4.854195,30.00
0.096019,torque-chirp,knee_flexion_left_joint,RS04,0.175069,0.000000,8.123626,0.0000,0.0000,0.175069,3.726025,5.641563,30.00
0.104020,torque-chirp,knee_flexion_left_joint,RS04,0.207282,0.000000,7.699874,0.0000,0.0000,0.207282,4.221333,5.476768,30.00
0.112023,torque-chirp,knee_flexion_left_joint,RS04,0.244098,0.000000,7.092638,0.0000,0.0000,0.244098,4.730373,5.117867,30.00
0.120023,torque-chirp,knee_flexion_left_joint,RS04,0.285517,0.000000,6.315862,0.0000,0.0000,0.285517,5.325932,5.066597,30.00
0.128022,torque-chirp,knee_flexion_left_joint,RS04,0.330770,0.000000,5.387267,0.0000,0.0000,0.330770,5.811171,4.619820,30.00
0.136022,torque-chirp,knee_flexion_left_joint,RS04,0.379475,0.000000,4.328235,0.0000,0.0000,0.379475,6.254749,4.337837,30.00
0.144022,torque-chirp,knee_flexion_left_joint,RS04,0.430862,0.000000,3.163359,0.0000,0.0000,0.430862,6.518883,3.839783,30.00
0.152020,torque-chirp,knee_flexion_left_joint,RS04,0.484170,0.000000,1.920739,0.0000,0.0000,0.484170,6.698786,3.323425,30.00
0.160021,torque-chirp,knee_flexion_left_joint,RS04,0.539010,0.000000,0.629293,0.0000,0.0000,0.539010,6.875029,2.448166,30.00
0.168018,torque-chirp,knee_flexion_left_joint,RS04,0.593851,0.000000,-0.678893,0.0000,0.0000,0.593851,6.906157,2.254059,30.00
0.176022,torque-chirp,knee_flexion_left_joint,RS04,0.648693,0.000000,-1.973635,0.0000,0.0000,0.648693,6.806362,1.334854,30.00
0.184020,torque-chirp,knee_flexion_left_joint,RS04,0.701615,0.000000,-3.221493,0.0000,0.0000,0.701615,6.562828,0.668350,30.00
0.192023,torque-chirp,knee_flexion_left_joint,RS04,0.753005,0.000000,-4.393180,0.0000,0.0000,0.753005,6.322042,0.624405,30.00
0.200022,torque-chirp,knee_flexion_left_joint,RS04,0.802476,0.000000,-5.458138,0.0000,0.0000,0.802476,6.110552,-0.276497,30.00
0.208022,torque-chirp,knee_flexion_left_joint,RS04,0.848880,0.000000,-6.390412,0.0000,0.0000,0.848880,5.663767,-0.624397,30.00
0.216020,torque-chirp,knee_flexion_left_joint,RS04,0.892215,0.000000,-7.166131,0.0000,0.0000,0.892215,5.206453,-0.811172,30.00
0.224022,torque-chirp,knee_flexion_left_joint,RS04,0.930948,0.000000,-7.765625,0.0000,0.0000,0.930948,4.710232,-2.433510,30.00
0.232022,torque-chirp,knee_flexion_left_joint,RS04,0.963930,0.000000,-8.172670,0.0000,0.0000,0.963930,3.889448,-3.143974,30.00
0.240021,torque-chirp,knee_flexion_left_joint,RS04,0.991158,0.000000,-8.376394,0.0000,0.0000,0.991158,3.153811,-3.572449,30.00
0.248019,torque-chirp,knee_flexion_left_joint,RS04,1.012634,0.000000,-8.370774,0.0000,0.0000,1.012634,2.428246,-4.242615,30.00
0.256021,torque-chirp,knee_flexion_left_joint,RS04,1.027591,0.000000,-8.154822,0.0000,0.0000,1.027591,1.646372,-4.451355,30.00
0.264022,torque-chirp,knee_flexion_left_joint,RS04,1.036796,0.000000,-7.733064,0.0000,0.0000,1.036796,0.935912,-4.982376,30.00
0.272023,torque-chirp,knee_flexion_left_joint,RS04,1.041398,0.000000,-7.115107,0.0000,0.0000,1.041398,0.281300,-4.780952,30.00
0.280022,torque-chirp,knee_flexion_left_joint,RS04,1.040630,0.000000,-6.315925,0.0000,0.0000,1.040630,-0.269399,-4.315857,30.00
0.288024,torque-chirp,knee_flexion_left_joint,RS04,1.035262,0.000000,-5.354563,0.0000,0.0000,1.035262,-0.897001,-4.205994,30.00
