t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,friction-sweep,knee_flexion_right_joint,RS04,6.035731,0.000000,0.000000,0.0000,2.0000,6.035731,0.008469,0.023804,28.00
0.008035,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.060197,-0.162964,28.00
0.020018,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,0.027237,-0.155640,28.00
0.028012,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,0.009842,-0.170288,28.00
0.036019,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.050584,-0.064087,28.00
0.044017,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.013504,0.034790,28.00
0.052032,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,0.027695,-0.009155,28.00
0.060020,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,0.014877,0.056763,28.00
0.068017,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.058824,-0.009155,28.00
0.080010,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.029527,-0.045776,28.00
0.092014,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,0.005264,-0.027466,28.00
0.104010,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.004807,0.020142,28.00
0.112011,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.013962,0.034790,28.00
0.120019,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.010757,-0.042114,28.00
0.128017,friction-sweep,knee_flexion_right_joint,RS04,6.030746,0.000000,0.000000,0.0000,2.0000,6.030746,-0.042344,0.031128,28.00
