t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,noload-speed,knee_flexion_right_joint,RS04,-10.363924,0.000000,0.000007,0.0000,0.0000,-10.363924,0.002975,-0.130005,29.00
0.008037,noload-speed,knee_flexion_right_joint,RS04,-10.359706,0.000000,0.096446,0.0000,0.0000,-10.359706,0.104143,0.023804,29.00
0.016067,noload-speed,knee_flexion_right_joint,RS04,-10.358939,0.000000,0.192806,0.0000,0.0000,-10.358939,0.065691,0.023804,29.00
0.024074,noload-speed,knee_flexion_right_joint,RS04,-10.358171,0.000000,0.288888,0.0000,0.0000,-10.358171,0.084917,0.133667,29.00
0.032133,noload-speed,knee_flexion_right_joint,RS04,-10.357405,0.000000,0.385596,0.0000,0.0000,-10.357405,0.083086,0.184937,29.00
0.044039,noload-speed,knee_flexion_right_joint,RS04,-10.355871,0.000000,0.528465,0.0000,0.0000,-10.355871,0.154955,0.250854,29.00
0.052039,noload-speed,knee_flexion_right_joint,RS04,-10.355104,0.000000,0.624473,0.0000,0.0000,-10.355104,0.090868,0.386353,29.00
0.060035,noload-speed,knee_flexion_right_joint,RS04,-10.353953,0.000000,0.720419,0.0000,0.0000,-10.353953,0.105516,0.441284,29.00
0.068022,noload-speed,knee_flexion_right_joint,RS04,-10.353187,0.000000,0.816266,0.0000,0.0000,-10.353187,0.092241,0.584122,29.00
0.076020,noload-speed,knee_flexion_right_joint,RS04,-10.352419,0.000000,0.912238,0.0000,0.0000,-10.352419,0.084002,0.708633,29.00
0.084019,noload-speed,knee_flexion_right_joint,RS04,-10.351652,0.000000,1.008227,0.0000,0.0000,-10.351652,0.047379,0.675674,29.00
0.092019,noload-speed,knee_flexion_right_joint,RS04,-10.350885,0.000000,1.104224,0.0000,0.0000,-10.350885,0.087664,0.811172,29.00
0.100019,noload-speed,knee_flexion_right_joint,RS04,-10.349735,0.000000,1.200232,0.0000,0.0000,-10.349735,0.206226,0.917374,29.00
0.108030,noload-speed,knee_flexion_right_joint,RS04,-10.348584,0.000000,1.296365,0.0000,0.0000,-10.348584,0.170519,1.034561,29.00
0.116016,noload-speed,knee_flexion_right_joint,RS04,-10.347434,0.000000,1.392194,0.0000,0.0000,-10.347434,0.138475,1.243301,29.00
0.124057,noload-speed,knee_flexion_right_joint,RS04,-10.346283,0.000000,1.488679,0.0000,0.0000,-10.346283,0.079424,1.268936,29.00
