t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,stall-torque,knee_flexion_right_joint,RS04,4.483319,0.000000,0.000008,0.0000,0.0000,4.483319,0.006638,-0.001831,29.00
0.008034,stall-torque,knee_flexion_right_joint,RS04,4.482936,0.000000,0.096404,0.0000,0.0000,4.482936,-0.067521,-0.005493,29.00
0.016020,stall-torque,knee_flexion_right_joint,RS04,4.482936,0.000000,0.192236,0.0000,0.0000,4.482936,-0.002975,0.049438,29.00
0.024016,stall-torque,knee_flexion_right_joint,RS04,4.483319,0.000000,0.288186,0.0000,0.0000,4.483319,0.060656,0.049438,29.00
0.032013,stall-torque,knee_flexion_right_joint,RS04,4.482936,0.000000,0.384157,0.0000,0.0000,4.482936,-0.027237,0.177612,29.00
0.040011,stall-torque,knee_flexion_right_joint,RS04,4.483319,0.000000,0.480133,0.0000,0.0000,4.483319,-0.068437,0.184937,29.00
0.048012,stall-torque,knee_flexion_right_joint,RS04,4.483319,0.000000,0.576145,0.0000,0.0000,4.483319,0.031815,0.265503,29.00
0.056014,stall-torque,knee_flexion_right_joint,RS04,4.483319,0.000000,0.672166,0.0000,0.0000,4.483319,0.022659,0.379028,29.00
0.064012,stall-torque,knee_flexion_right_joint,RS04,4.483703,0.000000,0.768138,0.0000,0.0000,4.483703,0.029526,0.419312,29.00
0.072009,stall-torque,knee_flexion_right_joint,RS04,4.484086,0.000000,0.864112,0.0000,0.0000,4.484086,0.042343,0.441284,29.00
0.080010,stall-torque,knee_flexion_right_joint,RS04,4.484469,0.000000,0.960126,0.0000,0.0000,4.484469,0.088579,0.521866,29.00
0.088008,stall-torque,knee_flexion_right_joint,RS04,4.485236,0.000000,1.056101,0.0000,0.0000,4.485236,0.155413,0.584122,29.00
0.096008,stall-torque,knee_flexion_right_joint,RS04,4.486005,0.000000,1.152101,0.0000,0.0000,4.486005,0.121538,0.485245,29.00
0.104009,stall-torque,knee_flexion_right_joint,RS04,4.487538,0.000000,1.248109,0.0000,0.0000,4.487538,0.219959,0.382690,29.00
0.112007,stall-torque,knee_flexion_right_joint,RS04,4.489839,0.000000,1.344089,0.0000,0.0000,4.489839,0.323874,0.316772,29.00
0.120009,stall-torque,knee_flexion_right_joint,RS04,4.492908,0.000000,1.440109,0.0000,0.0000,4.492908,0.471275,0.390015,29.00
0.128010,stall-torque,knee_flexion_right_joint,RS04,4.497125,0.000000,1.536121,0.0000,0.0000,4.497125,0.593957,0.591446,29.00
0.136008,stall-torque,knee_flexion_right_joint,RS04,4.502494,0.000000,1.632095,0.0000,0.0000,4.502494,0.731746,1.023575,29.00
0.144008,stall-torque,knee_flexion_right_joint,RS04,4.508630,0.000000,1.728090,0.0000,0.0000,4.508630,0.744563,1.602203,29.00
0.152008,stall-torque,knee_flexion_right_joint,RS04,4.515149,0.000000,1.824100,0.0000,0.0000,4.515149,0.862210,1.188370,29.00
0.160008,stall-torque,knee_flexion_right_joint,RS04,4.522052,0.000000,1.920095,0.0000,0.0000,4.522052,0.955138,0.466919,29.00
0.168007,stall-torque,knee_flexion_right_joint,RS04,4.530107,0.000000,2.016087,0.0000,0.0000,4.530107,1.030670,0.792862,29.00
0.176009,stall-torque,knee_flexion_right_joint,RS04,4.538926,0.000000,2.112113,0.0000,0.0000,4.538926,1.141451,1.569244,29.00
0.184008,stall-torque,knee_flexion_right_joint,RS04,4.548898,0.000000,2.208097,0.0000,0.0000,4.548898,1.238499,1.276260,29.00
0.192009,stall-torque,knee_flexion_right_joint,RS04,4.559636,0.000000,2.304107,0.0000,0.0000,4.559636,1.322727,0.565811,29.00
0.200010,stall-torque,knee_flexion_right_joint,RS04,4.571525,0.000000,2.400119,0.0000,0.0000,4.571525,1.523689,1.602203,29.00
0.208009,stall-torque,knee_flexion_right_joint,RS04,4.584563,0.000000,2.496110,0.0000,0.0000,4.584563,1.616159,1.382462,29.00
