t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,knee_flexion_right_joint,RS04,-0.013998,0.000000,0.000091,0.0000,0.0000,-0.013998,-0.020828,-0.001831,29.00
0.008195,torque-chirp,knee_flexion_right_joint,RS04,-0.013614,0.000000,1.293528,0.0000,0.0000,-0.013614,0.046463,-0.001831,29.00
0.016019,torque-chirp,knee_flexion_right_joint,RS04,-0.013614,0.000000,2.502111,0.0000,0.0000,-0.013614,-0.053330,0.016479,29.00
0.024005,torque-chirp,knee_flexion_right_joint,RS04,-0.013230,0.000000,3.681100,0.0000,0.0000,-0.013230,0.105516,0.496231,29.00
0.032004,torque-chirp,knee_flexion_right_joint,RS04,-0.012080,0.000000,4.779506,0.0000,0.0000,-0.012080,0.165483,0.986954,29.00
0.040002,torque-chirp,knee_flexion_right_joint,RS04,-0.009779,0.000000,5.769691,0.0000,0.0000,-0.009779,0.389791,1.470367,29.00
0.048006,torque-chirp,knee_flexion_right_joint,RS04,-0.005561,0.000000,6.628775,0.0000,0.0000,-0.005561,0.709315,2.316315,29.00
0.056004,torque-chirp,knee_flexion_right_joint,RS04,0.002110,0.000000,7.335225,0.0000,0.0000,0.002110,1.173494,3.557800,29.00
0.064004,torque-chirp,knee_flexion_right_joint,RS04,0.012847,0.000000,7.872384,0.0000,0.0000,0.012847,1.446325,4.517281,29.00
0.072002,torque-chirp,knee_flexion_right_joint,RS04,0.027037,0.000000,8.226824,0.0000,0.0000,0.027037,2.018082,4.000916,29.00
0.080005,torque-chirp,knee_flexion_right_joint,RS04,0.045828,0.000000,8.389429,0.0000,0.0000,0.045828,2.479515,5.231407,29.00
0.088002,torque-chirp,knee_flexion_right_joint,RS04,0.068839,0.000000,8.355306,0.0000,0.0000,0.068839,3.113070,5.465782,29.00
0.096001,torque-chirp,knee_flexion_right_joint,RS04,0.096067,0.000000,8.124366,0.0000,0.0000,0.096067,3.665598,5.150826,29.00
0.104002,torque-chirp,knee_flexion_right_joint,RS04,0.128664,0.000000,7.701047,0.0000,0.0000,0.128664,4.333029,5.099556,29.00
0.112001,torque-chirp,knee_flexion_right_joint,RS04,0.165865,0.000000,7.094492,0.0000,0.0000,0.165865,4.900663,5.238731,29.00
0.120004,torque-chirp,knee_flexion_right_joint,RS04,0.207282,0.000000,6.317969,0.0000,0.0000,0.207282,5.330509,5.055611,29.00
0.128002,torque-chirp,knee_flexion_right_joint,RS04,0.252536,0.000000,5.389874,0.0000,0.0000,0.252536,5.846876,4.645454,29.00
0.136001,torque-chirp,knee_flexion_right_joint,RS04,0.300857,0.000000,4.331138,0.0000,0.0000,0.300857,6.166401,4.682076,29.00
