t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000000,torque-chirp,knee_flexion_right_joint,RS04,3.591680,0.000000,0.000038,0.0000,0.0000,3.591680,-0.031358,-0.001831,28.00
0.008075,torque-chirp,knee_flexion_right_joint,RS04,3.595515,0.000000,0.642084,0.0000,0.0000,3.595515,0.136644,-0.097046,28.00
0.016027,torque-chirp,knee_flexion_right_joint,RS04,3.597049,0.000000,1.279449,0.0000,0.0000,3.597049,0.183338,-0.086060,28.00
0.023858,torque-chirp,knee_flexion_right_joint,RS04,3.598582,0.000000,1.911703,0.0000,0.0000,3.598582,0.206226,0.206909,28.00
0.031846,torque-chirp,knee_flexion_right_joint,RS04,3.600884,0.000000,2.560930,0.0000,0.0000,3.600884,0.342642,0.529190,28.00
0.039844,torque-chirp,knee_flexion_right_joint,RS04,3.603951,0.000000,3.214725,0.0000,0.0000,3.603951,0.455254,0.910049,28.00
0.047844,torque-chirp,knee_flexion_right_joint,RS04,3.607787,0.000000,3.872031,0.0000,0.0000,3.607787,0.489128,1.536285,28.00
0.055841,torque-chirp,knee_flexion_right_joint,RS04,3.613156,0.000000,4.531853,0.0000,0.0000,3.613156,0.772946,2.037994,28.00
0.063843,torque-chirp,knee_flexion_right_joint,RS04,3.619292,0.000000,5.194298,0.0000,0.0000,3.619292,0.895629,1.884186,28.00
0.071844,torque-chirp,knee_flexion_right_joint,RS04,3.628112,0.000000,5.858392,0.0000,0.0000,3.628112,1.286106,1.693756,28.00
0.079843,torque-chirp,knee_flexion_right_joint,RS04,3.640767,0.000000,6.523456,0.0000,0.0000,3.640767,1.700848,2.660568,28.00
0.087839,torque-chirp,knee_flexion_right_joint,RS04,3.656875,0.000000,7.188725,0.0000,0.0000,3.656875,2.149004,2.946213,28.00
0.095840,torque-chirp,knee_flexion_right_joint,RS04,3.677583,0.000000,7.854373,0.0000,0.0000,3.677583,2.810940,3.594421,28.00
0.103906,torque-chirp,knee_flexion_right_joint,RS04,3.704045,0.000000,8.524610,0.0000,0.0000,3.704045,3.476997,3.792175,28.00
0.111886,torque-chirp,knee_flexion_right_joint,RS04,3.735492,0.000000,9.186208,0.0000,0.0000,3.735492,4.241474,3.909363,28.00
