t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000000,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,0.006180,-0.001831,28.00
0.012035,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,-0.036851,0.027466,28.00
0.020022,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,-0.021286,0.023804,28.00
0.028014,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,-0.035935,0.020142,28.00
0.036011,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,0.049210,-0.027466,28.00
0.044068,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,0.039597,-0.023804,28.00
0.052019,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,-0.017166,-0.005493,28.00
0.060008,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,-0.033647,-0.064087,28.00
0.068011,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,-0.015793,-0.009155,28.00
0.076009,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,0.037766,-0.023804,28.00
0.084006,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,-0.002518,-0.038452,28.00
0.092009,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,0.025406,-0.023804,28.00
0.100008,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,-0.047837,-0.049438,28.00
0.108005,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,0.016708,0.023804,28.00
0.116011,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,-0.013962,-0.031128,28.00
0.124008,torque-step,knee_flexion_right_joint,RS04,4.051112,0.000000,0.000000,0.0000,0.0000,4.051112,-0.023575,0.016479,28.00
0.132006,torque-step,knee_flexion_right_joint,RS04,4.051497,0.000000,0.000000,0.0000,0.0000,4.051497,0.007095,0.005493,28.00
